40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.35;0.666666666666667;0.475;0.32;0.32;0.38;0.41;0.355
0.4;0.366666666666667;0.6;0.54;0.42;0.455;0.386666666666667;0.3925
0.4;0.5;0.475;0.28;0.51;0.425;0.4;0.425
0.3;0.1;0.5;0.54;0.41;0.38;0.353333333333333;0.3925
0.65;0.366666666666667;0.175;0.34;0.43;0.375;0.39;0.36
0.5;0.4;0.55;0.46;0.4;0.395;0.386666666666667;0.3875
0.3;0.366666666666667;0.525;0.3;0.45;0.385;0.486666666666667;0.4275
0.45;0.233333333333333;0.55;0.38;0.43;0.46;0.406666666666667;0.395
0.15;0.4;0.325;0.3;0.44;0.38;0.396666666666667;0.415
0.55;0.266666666666667;0.5;0.44;0.42;0.38;0.386666666666667;0.36
0.1;0.5;0.4;0.34;0.4;0.395;0.4;0.41
0.4;0.366666666666667;0.35;0.46;0.41;0.45;0.376666666666667;0.3975
0.35;0.3;0.3;0.34;0.41;0.37;0.406666666666667;0.385
0.4;0.4;0.325;0.42;0.47;0.455;0.376666666666667;0.3775
0.35;0.366666666666667;0.4;0.24;0.24;0.39;0.393333333333333;0.395
0.6;0.433333333333333;0.55;0.28;0.33;0.45;0.373333333333333;0.2975
0.35;0.4;0.375;0.34;0.48;0.42;0.333333333333333;0.4775
0.15;0.533333333333333;0.325;0.48;0.45;0.405;0.39;0.3925
0.35;0.333333333333333;0.25;0.56;0.36;0.4;0.47;0.3975
0.25;0.466666666666667;0.375;0.54;0.39;0.48;0.416666666666667;0.35
0.35;0.366666666666667;0.325;0.58;0.46;0.425;0.4;0.44
0.25;0.466666666666667;0.45;0.48;0.53;0.355;0.383333333333333;0.3725
0.4;0.433333333333333;0.425;0.36;0.35;0.39;0.366666666666667;0.385
0.7;0.433333333333333;0.275;0.4;0.38;0.41;0.476666666666667;0.405
0.55;0.533333333333333;0.35;0.42;0.42;0.375;0.35;0.4725
0.4;0.2;0.425;0.36;0.42;0.435;0.413333333333333;0.385
0.45;0.433333333333333;0.45;0.54;0.43;0.3;0.403333333333333;0.345
0.5;0.266666666666667;0.3;0.54;0.38;0.415;0.363333333333333;0.435
0.75;0.366666666666667;0.3;0.32;0.52;0.37;0.373333333333333;0.4125
0.7;0.4;0.375;0.46;0.37;0.355;0.383333333333333;0.385
0.3;0.633333333333333;0.525;0.4;0.36;0.395;0.456666666666667;0.37
0.2;0.533333333333333;0.275;0.38;0.44;0.33;0.32;0.42
0.5;0.566666666666667;0.425;0.48;0.49;0.41;0.373333333333333;0.375
0.3;0.233333333333333;0.2;0.5;0.43;0.37;0.403333333333333;0.4
0.3;0.4;0.4;0.4;0.36;0.33;0.443333333333333;0.3775
0.6;0.4;0.35;0.5;0.26;0.455;0.37;0.3975
0.45;0.533333333333333;0.425;0.58;0.34;0.335;0.346666666666667;0.3725
0.45;0.333333333333333;0.325;0.38;0.44;0.43;0.383333333333333;0.3925
0.45;0.533333333333333;0.375;0.28;0.47;0.415;0.436666666666667;0.4575
0.2;0.4;0.3;0.48;0.49;0.355;0.373333333333333;0.3975
0.4;0.5;0.375;0.3;0.41;0.385;0.406666666666667;0.395
0.35;0.433333333333333;0.4;0.38;0.32;0.435;0.42;0.3575
0.2;0.3;0.325;0.56;0.38;0.39;0.463333333333333;0.445
0.55;0.5;0.4;0.3;0.45;0.35;0.363333333333333;0.41
0.4;0.266666666666667;0.475;0.38;0.42;0.375;0.363333333333333;0.365
0.35;0.533333333333333;0.25;0.3;0.43;0.425;0.42;0.37
0.45;0.533333333333333;0.375;0.34;0.34;0.42;0.436666666666667;0.3675
0.65;0.566666666666667;0.35;0.4;0.39;0.435;0.42;0.4225
0.55;0.3;0.45;0.22;0.38;0.385;0.463333333333333;0.37
0.45;0.466666666666667;0.35;0.28;0.43;0.39;0.426666666666667;0.385
0.5;0.666666666666667;0.525;0.56;0.32;0.395;0.376666666666667;0.395
0.5;0.333333333333333;0.25;0.16;0.46;0.375;0.41;0.415
