40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.49;0.5;0.505;0.5364;0.51105;0.5074;0.5144;0.5026125
0.49125;0.538888888888889;0.5;0.5;0.5042;0.5084;0.511761111111111;0.506684375
0.48125;0.515555555555556;0.5675;0.492;0.5176;0.5076875;0.504583333333333;0.508525
0.4875;0.498888888888889;0.506875;0.5;0.5033;0.510575;0.5081;0.505759375
0.515;0.522222222222222;0.515;0.514;0.51575;0.5159;0.508711111111111;0.502225
0.49875;0.538888888888889;0.565625;0.4944;0.5025;0.50765;0.514466666666667;0.5140625
0.515;0.497777777777778;0.5021875;0.506;0.5007;0.5076875;0.513866666666667;0.513975
0.5;0.526666666666667;0.5125;0.494;0.50715;0.5019375;0.506533333333333;0.50855
0.505;0.513888888888889;0.5046875;0.511;0.5182;0.5175;0.509444444444444;0.510725
0.485;0.498888888888889;0.5225;0.514;0.5;0.507175;0.514483333333333;0.509775
0.52625;0.5;0.5028125;0.5264;0.5;0.51365;0.5098;0.50415625
0.5125;0.516666666666667;0.5234375;0.502;0.5007;0.5;0.503266666666667;0.5203
0.50125;0.544444444444444;0.520625;0.5024;0.5033;0.500825;0.514044444444445;0.5015375
0.5075;0.538888888888889;0.5065625;0.4968;0.4988;0.5134375;0.512538888888889;0.511475
0.49875;0.5;0.5003125;0.5054;0.503;0.50405;0.505444444444444;0.5030875
0.5;0.499444444444445;0.498125;0.5028;0.52;0.5293125;0.508377777777778;0.50301875
0.5225;0.5;0.528125;0.5096;0.511;0.50975;0.507222222222222;0.50475
0.5;0.5;0.4978125;0.528;0.50475;0.5182;0.512055555555556;0.50475
0.545;0.525;0.5125;0.5572;0.5075;0.5109375;0.506533333333333;0.511484375
0.495;0.511111111111111;0.51125;0.5364;0.504;0.522425;0.504088888888889;0.5034
0.485;0.506666666666667;0.51;0.504;0.5091;0.512075;0.5049;0.50940625
0.495;0.546666666666667;0.51125;0.507;0.4993;0.5064625;0.510705555555556;0.5091875
0.5;0.516666666666667;0.508125;0.4986;0.49885;0.5013125;0.512277777777778;0.511090625
0.51;0.535555555555556;0.4971875;0.518;0.5036;0.50495;0.513222222222222;0.514875
0.515;0.499444444444445;0.50375;0.511;0.5028;0.51495;0.502672222222222;0.512065625
0.5125;0.498888888888889;0.5196875;0.514;0.5152;0.509;0.504222222222222;0.506540625
0.51;0.511666666666667;0.4996875;0.5252;0.50525;0.519575;0.508522222222222;0.5091375
0.5375;0.5;0.5284375;0.504;0.5096;0.5189;0.502066666666667;0.51359375
0.51875;0.553333333333333;0.494375;0.5088;0.5042;0.50645;0.509966666666667;0.504625
0.49;0.585555555555556;0.5;0.4968;0.4934;0.51275;0.516677777777778;0.52205
0.49;0.535;0.48625;0.506;0.5112;0.5035875;0.5044;0.513953125
0.51875;0.511111111111111;0.50625;0.551;0.5045;0.505;0.5048;0.508621875
0.575;0.5;0.4925;0.5;0.5019;0.5023125;0.509066666666667;0.512940625
0.50625;0.508888888888889;0.5084375;0.5102;0.5096;0.5193875;0.514733333333333;0.51125
0.545;0.497222222222222;0.515;0.4944;0.50105;0.51075;0.503833333333333;0.5072625
0.5075;0.508888888888889;0.505625;0.5132;0.50315;0.5102;0.504533333333333;0.50658125
0.5225;0.526666666666667;0.498125;0.5096;0.508;0.5129375;0.5029;0.50938125
0.5075;0.508888888888889;0.50375;0.5102;0.5015;0.510125;0.508333333333333;0.5064125
0.48875;0.535;0.5;0.507;0.5165;0.51105;0.504583333333333;0.5040625
0.50375;0.5;0.49875;0.4984;0.5085;0.518125;0.509066666666667;0.505184375
0.55;0.513333333333333;0.5075;0.5108;0.5032;0.498425;0.513361111111111;0.504275
0.51875;0.501111111111111;0.49375;0.511;0.5098;0.503;0.5084;0.5123
0.5075;0.54;0.5034375;0.5008;0.5057;0.5021875;0.506944444444444;0.51495
0.51;0.497222222222222;0.515625;0.5012;0.50455;0.523925;0.5021;0.515625
0.5025;0.522222222222222;0.5021875;0.5136;0.5315;0.51525;0.505622222222222;0.504003125
0.505;0.6;0.5275;0.5156;0.49895;0.51615;0.507944444444444;0.51685625
0.505;0.501111111111111;0.4925;0.4982;0.5025;0.5082;0.517888888888889;0.50975
0.5075;0.512222222222222;0.5015625;0.514;0.5;0.4989;0.514888888888889;0.506171875
0.5;0.5;0.4971875;0.5144;0.5;0.5065875;0.500272222222222;0.516778125
0.505;0.503888888888889;0.5375;0.5064;0.51275;0.514625;0.506666666666667;0.5094
0.515;0.508333333333333;0.5125;0.5112;0.5252;0.5102;0.501444444444444;0.510175
0.525;0.518333333333333;0.5284375;0.5108;0.4905;0.52175;0.511277777777778;0.51045
0.5;0.555555555555556;0.50875;0.5168;0.5085;0.5104125;0.501416666666667;0.506125
0.49625;0.511666666666667;0.5225;0.5114;0.5066;0.5141;0.50595;0.5016125
0.4925;0.495555555555556;0.4984375;0.5032;0.50975;0.5042;0.512283333333333;0.516065625
0.50375;0.508888888888889;0.49625;0.5234;0.5072;0.5102;0.509066666666667;0.509875
0.51875;0.493333333333333;0.513125;0.5048;0.5;0.50765;0.5096;0.51321875
0.495;0.5;0.505;0.5154;0.5007;0.5053625;0.519844444444445;0.50575
0.495;0.515555555555556;0.499375;0.5264;0.5036;0.51525;0.506722222222222;0.5219
0.515;0.511111111111111;0.5275;0.524;0.49915;0.5044;0.51505;0.50775625
0.53;0.508888888888889;0.51875;0.542;0.51235;0.5061875;0.509955555555556;0.510634375
0.5;0.522222222222222;0.509375;0.508;0.505;0.4979375;0.506388888888889;0.505475
0.5;0.495555555555556;0.5;0.5288;0.512;0.4976;0.517266666666667;0.5042625
0.495;0.498333333333333;0.5;0.4994;0.50165;0.50765;0.50915;0.5103125
0.475;0.544444444444444;0.4975;0.5014;0.524;0.5075;0.501177777777778;0.514184375
0.52;0.513333333333333;0.520625;0.506;0.5;0.5126;0.510694444444444;0.5097125
0.5;0.523333333333333;0.5025;0.5144;0.50475;0.5034875;0.508;0.501940625
0.60125;0.5;0.52;0.5182;0.508;0.498575;0.505244444444444;0.519415625
0.5375;0.505555555555556;0.5034375;0.5294;0.5048;0.5028125;0.5034;0.50336875
0.50875;0.494444444444444;0.5584375;0.5;0.49575;0.5052875;0.5136;0.51071875
0.4925;0.553333333333333;0.49375;0.5256;0.5018;0.5182;0.501866666666667;0.511625
0.49625;0.505;0.505625;0.516;0.4997;0.519825;0.506477777777778;0.50966875
0.52625;0.488888888888889;0.524375;0.5052;0.50625;0.5078375;0.521666666666667;0.50855
0.525;0.504444444444444;0.5084375;0.4952;0.5189;0.505;0.515488888888889;0.51439375
0.50875;0.54;0.5125;0.4984;0.49865;0.5114;0.506333333333333;0.506525
0.495;0.502777777777778;0.5171875;0.512;0.50425;0.50175;0.518133333333333;0.5115875
0.505;0.505555555555556;0.5075;0.5276;0.5099;0.5217375;0.5032;0.504528125
0.50625;0.516666666666667;0.499375;0.512;0.5054;0.506375;0.508866666666667;0.510625
0.49375;0.513333333333333;0.5421875;0.5016;0.514;0.510725;0.505777777777778;0.502875
0.51;0.508333333333333;0.506875;0.4984;0.5099;0.5248;0.503133333333333;0.51316875
0.53375;0.54;0.5171875;0.5042;0.50105;0.5148;0.5009;0.50815625
0.515;0.519444444444444;0.5140625;0.5066;0.5;0.51935;0.5096;0.50179375
0.49625;0.508888888888889;0.505;0.5408;0.5096;0.5168;0.506261111111111;0.513628125
0.52;0.494444444444444;0.504375;0.5264;0.516;0.5117875;0.508111111111111;0.504096875
0.535;0.502222222222222;0.4975;0.5096;0.5099;0.5061875;0.510511111111111;0.5013125
0.485;0.497222222222222;0.494375;0.511;0.5081;0.5081;0.5048;0.50975
0.50125;0.5;0.524375;0.4944;0.5036;0.5095625;0.511916666666667;0.511678125
0.52;0.54;0.51875;0.482;0.498;0.503875;0.505111111111111;0.505446875
0.5;0.525;0.5240625;0.5198;0.502;0.5165;0.512288888888889;0.50675
0.48125;0.513333333333333;0.509375;0.5;0.524;0.508575;0.511522222222222;0.5040625
0.505;0.505555555555556;0.5125;0.4976;0.52565;0.509775;0.5138;0.51484375
0.50375;0.516666666666667;0.50625;0.5126;0.5231;0.504675;0.5065;0.50778125
0.4925;0.516666666666667;0.5;0.5078;0.5011;0.5204;0.5036;0.51
0.515;0.508888888888889;0.5084375;0.5132;0.507;0.513325;0.502;0.5111625
0.61;0.508888888888889;0.48875;0.5182;0.5024;0.504;0.508066666666667;0.5072
0.49875;0.5;0.5309375;0.5052;0.50475;0.512025;0.509388888888889;0.5009375
0.5;0.491666666666667;0.509375;0.5;0.5077;0.50645;0.503;0.51025
0.485;0.496666666666667;0.485;0.5374;0.4946;0.513225;0.507816666666667;0.5093
0.49875;0.557777777777778;0.50375;0.5042;0.502;0.51025;0.499088888888889;0.504453125
0.52625;0.502777777777778;0.499375;0.522;0.5144;0.5005375;0.510277777777778;0.50439375
0.54;0.5;0.50625;0.5032;0.5;0.492525;0.5039;0.5153125
0.495;0.503333333333333;0.50375;0.518;0.51215;0.51715;0.521;0.500571875
0.50125;0.513333333333333;0.524375;0.5022;0.503;0.5018125;0.5092;0.5081
0.50625;0.498333333333333;0.4934375;0.4968;0.5;0.515675;0.515361111111111;0.50495
0.53;0.501666666666667;0.49;0.5048;0.5145;0.495125;0.497977777777778;0.509421875
0.515;0.5;0.5025;0.4946;0.5153;0.5138;0.5075;0.5117
0.5175;0.522222222222222;0.5;0.515;0.51615;0.503825;0.503322222222222;0.50634375
0.5175;0.500555555555556;0.51125;0.5044;0.5032;0.508225;0.509666666666667;0.506875
0.535;0.508888888888889;0.49875;0.513;0.49235;0.50275;0.507822222222222;0.510753125
0.5225;0.504444444444444;0.53375;0.5144;0.5135;0.5074375;0.512466666666667;0.50388125
0.53375;0.513333333333333;0.5171875;0.5064;0.50135;0.506375;0.508611111111111;0.5097125
0.52625;0.502222222222222;0.546875;0.499;0.52465;0.50195;0.507833333333333;0.51245
0.5;0.5;0.5084375;0.5176;0.511;0.5123375;0.508888888888889;0.506
0.535;0.54;0.5103125;0.5036;0.509;0.5043875;0.5056;0.5083125
0.515;0.505555555555556;0.5;0.51;0.51015;0.5152375;0.505555555555556;0.5034
0.475;0.555;0.50375;0.4934;0.506;0.505375;0.5102;0.509384375
0.5675;0.5;0.524375;0.5078;0.4961;0.5084375;0.507822222222222;0.5070875
0.5075;0.538888888888889;0.4934375;0.476;0.5;0.5078625;0.508066666666667;0.50125
0.4925;0.513333333333333;0.5025;0.5162;0.5042;0.51485;0.511111111111111;0.510359375
0.505;0.506666666666667;0.491875;0.4964;0.50325;0.5039875;0.505366666666667;0.509975
0.5;0.535555555555556;0.504375;0.5204;0.51215;0.5204;0.519061111111111;0.5069125
0.515;0.538888888888889;0.496875;0.503;0.5013;0.50495;0.5009;0.511125
0.5075;0.491111111111111;0.5084375;0.5144;0.50945;0.5162;0.509027777777778;0.50163125
0.49875;0.5;0.5034375;0.514;0.50625;0.50475;0.514666666666667;0.51569375
0.51875;0.557777777777778;0.5075;0.4968;0.51395;0.5066;0.504733333333333;0.509975
0.5075;0.522222222222222;0.479375;0.4928;0.5066;0.5048875;0.5049;0.50333125
0.5;0.496666666666667;0.49875;0.5504;0.50425;0.513975;0.501244444444444;0.504265625
0.52625;0.482222222222222;0.5703125;0.5072;0.5;0.515525;0.5056;0.506975
0.5;0.494444444444444;0.5171875;0.5022;0.506;0.50055;0.507944444444444;0.506684375
0.48875;0.5;0.515;0.4976;0.5007;0.506375;0.502077777777778;0.5011875
0.5525;0.5;0.5328125;0.5272;0.5115;0.510125;0.510083333333333;0.506684375
0.5075;0.51;0.504375;0.5182;0.5023;0.4988;0.5058;0.51255625
0.54;0.501111111111111;0.496875;0.5048;0.4991;0.5151875;0.499655555555556;0.5104125
0.49875;0.505;0.506875;0.5084;0.504;0.51425;0.51375;0.504375
0.5075;0.561111111111111;0.5153125;0.503;0.506;0.504375;0.5076;0.5055
0.5025;0.519444444444444;0.498125;0.5154;0.503;0.509;0.51235;0.51299375
0.51;0.5;0.4925;0.5024;0.50585;0.50105;0.501788888888889;0.513953125
0.49125;0.499444444444445;0.5;0.5064;0.5005;0.515;0.5154;0.5065625
0.61;0.527222222222222;0.5375;0.5054;0.50735;0.50045;0.523111111111111;0.5106
0.4975;0.5;0.5140625;0.519;0.49675;0.50525;0.512444444444444;0.513975
