40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.3;0.316666666666667;0.2;0.23;0.29;0.2725;0.306666666666667;0.30375
0.3;0.25;0.2625;0.36;0.245;0.2875;0.3;0.2875
0.35;0.45;0.25;0.23;0.295;0.31;0.323333333333333;0.30375
0.175;0.316666666666667;0.4125;0.33;0.285;0.3125;0.305;0.32
0.25;0.3;0.225;0.27;0.3;0.3025;0.306666666666667;0.30625
0.35;0.316666666666667;0.2375;0.35;0.275;0.3075;0.256666666666667;0.28625
0.275;0.383333333333333;0.225;0.31;0.285;0.27;0.296666666666667;0.3025
0.425;0.3;0.3375;0.35;0.28;0.31;0.301666666666667;0.2925
0.225;0.366666666666667;0.25;0.28;0.29;0.31;0.306666666666667;0.32
0.45;0.25;0.3;0.33;0.3;0.3025;0.3;0.295
0.3;0.316666666666667;0.325;0.27;0.295;0.275;0.311666666666667;0.30125
0.325;0.35;0.35;0.33;0.295;0.315;0.296666666666667;0.3075
0.3;0.3;0.3375;0.29;0.265;0.2725;0.311666666666667;0.31125
0.325;0.316666666666667;0.3;0.38;0.38;0.305;0.303333333333333;0.3025
0.2;0.283333333333333;0.225;0.36;0.335;0.275;0.313333333333333;0.35125
0.325;0.3;0.3125;0.33;0.26;0.29;0.333333333333333;0.26125
0.425;0.233333333333333;0.3375;0.26;0.275;0.2975;0.305;0.30375
0.325;0.333333333333333;0.375;0.22;0.32;0.3;0.265;0.30125
0.375;0.266666666666667;0.3125;0.23;0.305;0.26;0.291666666666667;0.325
0.325;0.316666666666667;0.3375;0.21;0.27;0.2875;0.3;0.28
0.375;0.266666666666667;0.275;0.26;0.235;0.3225;0.308333333333333;0.31375
0.3;0.283333333333333;0.2875;0.32;0.325;0.305;0.316666666666667;0.3075
0.15;0.283333333333333;0.3625;0.3;0.31;0.295;0.261666666666667;0.2975
0.225;0.233333333333333;0.325;0.29;0.29;0.3125;0.325;0.26375
0.3;0.4;0.2875;0.32;0.29;0.2825;0.293333333333333;0.3075
0.275;0.283333333333333;0.275;0.23;0.285;0.35;0.298333333333333;0.3275
0.25;0.366666666666667;0.35;0.23;0.31;0.2925;0.318333333333333;0.2825
0.125;0.316666666666667;0.35;0.34;0.24;0.315;0.313333333333333;0.29375
0.15;0.3;0.3125;0.27;0.315;0.3225;0.308333333333333;0.3075
0.35;0.183333333333333;0.2375;0.3;0.32;0.3025;0.271666666666667;0.315
0.4;0.233333333333333;0.3625;0.31;0.28;0.335;0.34;0.29
