40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
3222.8;7012.55;13380;23779.17;85139;334462.4575;786407.04;1299390.57125
3405.2;8604.48333333333;12533.1875;21827.36;84713.335;334420.3225;779302.8;1337125
3222.6;7625.48333333333;17975;19653.57;89713.565;337843.84;747815.666666667;1357395.79125
3093.525;6967.61666666667;13417.8375;20553.47;82761.375;342389.4375;754923.155;1356430.08
3568;8317.2;14278.4;21246.41;87387.2;352123.1875;760172.16;1330327.44875
3200;8585.21666666667;17286.2125;19652.49;80485.625;334364.1425;782119.893333333;1396828.46875
3317.625;7011.95;13169.6;21234.85;79663.295;337969.28;789010.333333333;1388503.19
3091.275;8317.2;13430.5125;20550.09;83294.72;327374.24;747932.891666667;1351594.88
3183.875;7763.33333333333;13168;21464.32;89136;354617.96;760172.16;1359088.32
3288.8;6967.68333333333;14646.8;21634.43;81117.2;335606.6875;791500.8;1354142.18
3770;7012.55;13004.3;22612.01;79480.565;346472.4;764651.881666667;1321902.19375
3315.175;7637.58333333333;15060;19877.87;79662.485;325821.44;737885.653333333;1444513.25
3222.8;9046.8;14104.0125;20560.23;82773.875;325405.9375;787605.815;1292767.65375
3181.375;8585.21666666667;13370;20202.32;80022.48;346333.68;774710.786666667;1388503.19
3200;7012.85;12823.1;20812.16;82188.205;327419.6;760125.12;1321506.14375
3181.375;7200;12622.9375;20058.03;89184;379406.84;759984;1316301.80375
3704.475;7223.06666666667;14508.1125;21469.44;84684.505;338217.5925;751328.128333333;1332581.94125
3092.175;7200;13002.5;23329.28;83271.68;356480;771499.888333333;1346954.69375
3975.725;8323.73333333333;13434.7375;26621.25;82748.875;340664;747986.181666667;1367258.8
3092.175;7416.95;13430.5125;23793.75;83300.48;359602.5625;741910.8;1320360.32
3047.525;7566.93333333333;13624.4;20826.56;85458.305;343843.4075;743121.965;1359981.18125
3200;9001.65;13438.9625;20817.92;80157.695;339157.98;764011.733333333;1351406.72
3223.4;7645.65;13739.1875;20205.2;82753.96;328238.02;773778.065;1376372.25
3501.675;8676.26666666667;12800;21648.87;81850.04;329898.9375;789980.948333333;1390744.98125
3564.8;7200;12759.4625;21454.08;81850.04;350506.6875;734266.666666667;1388407.97
3317.625;6967.65;14265.6;21670.53;86178.375;336475.4;737426.295;1353719.81
3407;7763.33333333333;12800;22633.17;83846.44;357652.0775;758603.875;1362332
3740.775;7416.95;15060;20815.04;84515.84;358225.94;746295.146666667;1383808.76125
3574.4;9480;12532.7375;20882.25;82742.625;335546.1875;768909.125;1330298.93
3222.6;10555.75;12944.7125;20000;81454.08;352123.1875;795925.895;1444296.5
3222.4;8676.26666666667;12755.7875;20285.65;87413.12;333052.16;741757.04;1395136.44
3568;7425.05;12940.6625;25877.76;81726.725;334262.5;744771.12;1361900
4646.4;7100.75;12822.4;20064.51;81713.495;330028.34;756834.855;1394934.8
3403.4;7564.8;13620.8;22280;85816.32;356256;783033.035;1362791.45375
4035.2;7291.2;13912.3;19653.39;82724.92;341094.7575;753040.478333333;1346954.69375
3182.625;7569.06666666667;13167.1625;21263.75;83265.92;343798.5175;756309.333333333;1341846.63125
3497.625;8650.66666666667;12622.3125;21641.65;83866.72;346426.16;743121.965;1354709.52125
3182.625;7776.66666666667;12758.2375;22256;80853.635;345527.7975;758868.791666667;1337525.26375
3558.4;8659.2;13613.6;20826.56;88825.725;345384.9675;747864.666666667;1317939.34375
3291.2;7104.08333333333;12532.7375;19876.89;83346.365;357548.7425;768273.013333333;1336975
3984.175;7645.65;13917.2;20873.25;82264;319092.6075;779406.84;1323786.32375
3558.4;7012.25;12487.6125;21479.68;84460.96;332050.62;757041.525;1376710.25
3183.875;8604.48333333333;13620.8;19742.25;82767.625;329080;749523.875;1398298.88
3405.2;7290.13333333333;13761.6875;19743.25;82284;369641.4375;738718.675;1407856.25
3092.175;8330.26666666667;13160;22076.01;95199.255;355816.1025;746403.04;1318225.94
3182.625;11721.0666666667;14517.1375;21634.43;82268;349600.64;760833.605;1406283.17875
3185.125;7013.45;12822.7;20000;80478.875;336945.6675;796833.76;1357608.20625
3183.875;7905.58333333333;13006.1;21612.77;80569;318453.1425;783147.525;1341488.96
3317.625;7566.93333333333;13163.2;21827.36;81713.495;333121.28;734283.333333333;1408081.25
3292;7573.33333333333;15503.9125;20832.32;85795.84;345480.1875;747879.601666667;1370453.51
3568;7562.66666666667;13902.5;21807.92;92124.68;342389.4375;744731.765;1359471.23
3497.625;8323.73333333333;15030;20877.75;79665.725;363413.0825;767175.185;1361936
3292.8;9533.33333333333;13173.2125;22272;83309.915;344959.88;737843.84;1334478.69
3223.2;7770;15498.3;22749.12;84460.96;347123.0975;756629.333333333;1328223.64
3047.675;7222.66666666667;12891.6;20570;84500.16;334262.5;777300;1408475
3289.6;7564.8;12891.6;22729.76;83846.44;339057.06;756743.001666667;1357289.58375
3571.2;7290.66666666667;14118.4625;20280.81;80817.92;335480.4;772500.48;1383902.60625
3200;7222.8;13168;21840.32;80487.875;334325;804265.955;1351249.92
3092.625;7657.75;12487.6875;22601.43;83426.555;355652.0775;751288.601666667;1440063.81625
3561.6;7422.35;14535.1875;22758.8;81469.44;328180.26;784082.653333333;1342304.59125
3780;7566.93333333333;14104.0125;24420.93;85857.28;343470.08;768442.293333333;1367758.52
3183.875;7916.85;13443.1875;20553.47;82748.875;324472.72;747950.655;1330492.10625
3222.8;7222.66666666667;13158.0875;23108.25;84665.285;323856.58;800494.461666667;1320307.4
3092.625;7222.53333333333;12622.9375;20022.8;81119.16;335493.92;764166.613333333;1377253.40875
3047.475;9057.6;12823.2;20362.24;91826.435;335606.6875;736050.905;1391475
3561.6;7645.65;14111.2375;20283.23;80859.415;345551.6025;779268.12;1360164.19375
3222.6;7905.58333333333;12938.6375;21853.28;83265.92;329184;768273.013333333;1314694.01
5046.8;7222.93333333333;14240;22232;84484.48;319369.9475;749542.625;1436724.75
3722.625;7645.65;13624.4;24547.2;82783;334237.5;735403.786666667;1323951.94375
3568;7013.15;17210;20576;80809.28;337922.24;781579.093333333;1377607.18875
3180.125;9493.33333333333;13163.2;23271.68;80162.765;356544;741949.24;1377562.96625
3222.6;7766.66666666667;14490.0625;21833.84;79207.615;361261.4625;749542.625;1365727.78125
3765;6967.48333333333;14553.2375;20868.75;85103;346333.68;813115.733333333;1349242.25
3489.525;7425.05;13624.4;19741.25;87879.305;334200;796923.466666667;1393744.71875
3564.8;9046.8;13927;19881.79;83819.4;342045.34;746356.8;1346739.07625
3200;7399.2;14265.6;21612.77;82744.28;324595.6875;797058.026666667;1386569.43125
3177.625;7237.21666666667;13170.1875;24336.83;83983.085;360289.76;747968.418333333;1326190.25
3407;7911.21666666667;12487.5625;21641.65;83277.44;339602.3975;771280.345;1382349.2
3291.2;7780;16083.2;20064.51;86577.64;339621.0025;749738.88;1299400.49375
3408.8;7562.66666666667;13430.5125;19873.95;84665.285;369641.4375;737426.295;1380433.90625
4020.8;9046.8;14240;20576;80576;345527.7975;736148.375;1354469.96375
3320.075;8025.6;13922.1;21105.44;80091.52;354147.3275;760289.76;1294070.96875
3223;7780;13370;24387.29;88173.04;352952.08;749376;1388455.58
3571.2;7411.55;12936.6125;22601.43;87452;343388.16;766829.225;1324237.6
3716.575;7291.2;12822.9;21117.2;84674.895;337984.96;760833.605;1312952.08
3047.575;7292.26666666667;12755.7875;21459.2;85436.525;336737.84;747979;1357289.58375
3223;7104.08333333333;14490.0625;20817.92;82763.64;341910.8;774614.746666667;1388646.02
3568;8575.58333333333;14240;19607.67;80206.64;327962.6875;740152.535;1341678.24
3093.075;8336.8;14630.6;22304;81113.28;351213.2;782651.401666667;1341932.49875
3222.8;7770;13161.1125;20367.36;91015.84;340876.4625;768518.041666667;1310545.42125
3181.375;7237.21666666667;13438.9625;20283.23;92145.84;341074.9125;780132.125;1396460.53125
3291.2;7911.21666666667;12934.5875;21469.44;91738.075;329929.3125;766829.225;1349792.79625
3182.625;7649.68333333333;13434.7375;21454.08;82204.075;357617.6325;744974.4;1361972
3558.4;7564.8;13617.2;21240.63;83317.205;344090.3025;732054.146666667;1363358.79125
5072.625;7760;12936.6125;22320;81446.4;333109.76;764398.933333333;1342083.84
3200;7222.93333333333;15060;20868.75;83277.44;341035.2225;764789.898333333;1312258.68125
3182.625;7222.93333333333;14096.7875;20205.92;82755.125;335531.0625;743456.426666667;1364987.64
3290.4;6967.55;12822.6;24468.8;79252.985;345551.6025;764089.173333333;1366118.40625
3200;9438.95;12758.2375;20572;80162.765;339621.0025;725416.708333333;1318242.75
3765;7405.2;12487.5375;22076.01;86600.76;330957.76;773418.695;1326306.71375
4020.8;7407.6;13620.8;20572;83859.96;324573.9075;743181.818333333;1403319.94875
3200;7104.08333333333;12757.0125;21656.09;87322.4;352093.5425;807848.213333333;1303244.8
3222.6;7776.66666666667;14517.1375;20817.92;82172.335;326618.1;766685.075;1363056.21125
3407;7223.06666666667;12892.4;20000;81125.04;347198.7125;794163.84;1326271.25
3728.675;7291.73333333333;12891.2;20280.81;87803.255;323168.3675;729060.125;1351187.2
3574.4;7416.95;12936.6125;20203.04;86166.125;347979;753165.298333333;1370493.2
3481.425;8330.26666666667;13170.1875;22272;87426.08;328825.7375;737356.675;1332777.96125
3489.525;7222.8;13443.1875;20556.85;82268;339621.0025;764553.813333333;1328300.90625
3728.675;7776.66666666667;12800;21859.76;80364.16;325857.28;762058.586666667;1376372.25
3509.775;7402.8;15012.2375;21240.63;85425.635;335507.44;775526.678333333;1319897.99375
