40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
-1.003995450436;-1.00368746871146;-1.04629554712694;-1.01197085563756;-1.00006601349762;-1.01256183642717;-1.01744643489954;-1.01406995636139
-1.00178886431961;-1.00175553779402;-1.0118788061048;-1.04368189931471;-1.01465004272959;-1.01204338200276;-1.01990896510013;-1.00423041326755
-1.01528687299704;-1.0461991309506;-1.00105974909293;-1.0191822386679;-1.01708376257873;-1.01175591311683;-1.01822710417902;-1.01051219522624
-1.00170815410656;-1.01660401020917;-1.06354217489883;-1.00072012841374;-1.02799567636115;-1.01260319448396;-1.00878590378306;-1.0142726083505
-1.00495807510026;-1.00019680273699;-1.01455816665179;-1.01107912627249;-1.01075698239615;-1.01658152772815;-1.01186885413454;-1.01335141765607
-1.02616754497547;-1.03138195673176;-1.02707614028712;-1.01928174414827;-1.02002699373275;-1.02267205345029;-1.01262697986206;-1.00979818521711
-1;-1.0416173989555;-1.06336863677345;-1.00060578608165;-1.00403368249379;-1.01144344582268;-1.01995614880149;-1.02085521983212
-1.02074266727982;-1.00159569305602;-1.00751813223498;-1.01862663214269;-1.0014522012874;-1.013350465604;-1.02093849276129;-1.01853663684548
-1.00335374744824;-1.03094985381355;-1.01617343233673;-1.01094792440748;-1.00980798278966;-1.00544722079165;-1.00981292159425;-1.01289769171098
-1.01208626273797;-1.01572304363505;-1.00722527933174;-1.0167895414146;-1.0244783452406;-1.02273043713463;-1.01259940783673;-1.013585485415
-1.00565936478509;-1.00021594076652;-1.02940438862786;-1.02165729992167;-1.00338849098543;-1.01239148387855;-1.02149820207204;-1.0132439526871
-1.03495040820457;-1.00175553779402;-1.00371296210518;-1.03219578351736;-1.00086964708868;-1.01879796174965;-1.01459011425693;-1.0083087471181
-1.01940106446971;-1.01973211570416;-1.03256010122311;-1.00328884977735;-1.00143185093304;-1.00431496062992;-1.00594036522758;-1.02642949050306
-1.00173291387294;-1.04475183075671;-1.02578787327382;-1.01166073102933;-1.01106068037458;-1.00547994019893;-1.02087280320317;-1.00298419432087
-1.01042695209131;-1.0416173989555;-1.01032792816498;-1.00223495118596;-1.00006222445135;-1.01800123276639;-1.01679101496389;-1.01867635557639
-1;-1.00184117378397;-1.00048322923494;-1.00874498068562;-1.00851937266453;-1.00569145140107;-1.01262525947472;-1.00773286770645
-1.01066519197346;-1;-1.0027418247265;-1.0053805064349;-1.02543604651163;-1.03637338212827;-1.01214133852815;-1.00769897494357
-1.03523292435195;-1.00084949215143;-1.03063228010905;-1.01733855157666;-1.01608360121559;-1.01415866191035;-1.01079901262542;-1.01015323172739
-1.00393700787402;-1;-1.00349118257791;-1.03640182791254;-1.0093190758448;-1.02411494937896;-1.01749125568759;-1.01268955925494
-1.04654197477164;-1.03270735142087;-1.01680768458523;-1.06221284724616;-1.01032507276899;-1.01529377400975;-1.00995612017768;-1.01477363321214
-1.003995450436;-1.01454491131814;-1.01623737249108;-1.04493496584698;-1.01003496330706;-1.02719312072181;-1.00719474997262;-1.00765183934875
-1.00042994942351;-1.01225392863221;-1.01501455311295;-1.01017395171851;-1.01921589739745;-1.01720620505106;-1.00827201864608;-1.01447472321915
-1;-1.05127786378062;-1.01750591721695;-1.00925624224979;-1.00285624108188;-1.01362273109595;-1.01350908301949;-1.01259350069148
-1.00211180124224;-1.0218653174019;-1.0205569636542;-1.0025075249137;-1.00813098096831;-1.00619899609653;-1.01824699327415;-1.01684753259896
-1.03554985874228;-1.0419058457316;-1;-1.0227337238986;-1.00557953178226;-1.00835329118015;-1.0211882070776;-1.02040522429581
-1.02435035435217;-1;-1.00542950474924;-1.01582739004414;-1.00559226970578;-1.02231572729766;-1.0047870950856;-1.01850491187992
-1.0208934540443;-1.00020637175176;-1.02491398203559;-1.02503071112443;-1.01965403222461;-1.01101454321435;-1.00656615852203;-1.01274178500538
-1.0155469840744;-1.0158393560393;-1;-1.03421353759166;-1.01101710003147;-1.02608294379886;-1.01274046947739;-1.01489183510701
-1.0531287947914;-1.0150374918496;-1.03201160378472;-1.00906204442687;-1.01383896669211;-1.02459502955208;-1.00849379094736;-1.01859188089596
-1.02952532364297;-1.05135603000577;-1.0010040754767;-1.01547054429214;-1.01027396220227;-1.01205516868509;-1.01589413202332;-1.00911783048555
-1.00166463763075;-1.07948407855927;-1.00958825424301;-1;-1.0043667957219;-1.02288907103298;-1.02419481553199;-1.0259816824188
-1.00154041094189;-1.04197419290054;-1.00512213807805;-1.0081211221043;-1.02090162369916;-1.00914305759618;-1.00677226876046;-1.01991300218082
-1.02589143765614;-1.01674498193769;-1.0088016400234;-1.05179990460049;-1.0079746297607;-1.01045034207954;-1.00795151161647;-1.01427502615995
-1.05665722379603;-1.00435171245766;-1.00038377714716;-1.00607385811467;-1.00770613650153;-1.00729974893558;-1.01252146893402;-1.01968076227165
-1.01357807392507;-1.0116105364673;-1.01454916017313;-1.02470356449608;-1.01589527591822;-1.02275577536019;-1.02044875661109;-1.01490294764441
-1.05199137545259;-1.00310138096924;-1.01834050492243;-1.00069740527125;-1.00737442009997;-1.01656621303383;-1.01129049835627;-1.01259646292965
-1.01121687270429;-1.01274511657811;-1.01297190509819;-1.0209741643396;-1.00922476984984;-1.01704245060971;-1.0113057942763;-1.01155227513457
-1.03199958170481;-1.03697191942533;-1.00264266289191;-1.02263220164786;-1.01141382283632;-1.01856728403688;-1.00832074625655;-1.01378605977353
-1.01121687270429;-1.01944716948468;-1.00523696911984;-1.02252255527041;-1.00524659040632;-1.01912018582364;-1.01345064131244;-1.01142202707948
-1.02264562775681;-1.03795752372345;-1.01384615384615;-1.01009013794797;-1.02731684734022;-1.01823360830278;-1.00891752780977;-1.00760084881877
-1.00675585039572;-1.00529262325932;-1.00099149584751;-1.00322569799756;-1.01210822939512;-1.0256121800367;-1.01521241839373;-1.01033199526409
-1.05;-1.02208099273223;-1.01948205535249;-1.01451440583008;-1.00637638629818;-1.00054669073051;-1.01840953060688;-1.00842022904286
-1.0204406086759;-1.00166418798759;-1.00010811297806;-1.0182327684703;-1.01252376971812;-1.00882006177172;-1.01309561602877;-1.01728240015754
-1.01200679331727;-1.04604289061435;-1.01476371182879;-1.00164351283887;-1.01083554898242;-1.00654254329938;-1.01007351318046;-1.02022520195807
-1.01448212215149;-1.00280833709813;-1.02336378819589;-1.00174287211942;-1.00683774525131;-1.03173036260614;-1.00684830460763;-1.02103515953569
-1.00390778787128;-1.03457334216211;-1.00605474883158;-1.02519612175302;-1.03923126077734;-1.02547152553076;-1.0086952837664;-1.00693034428653
-1.01129631092503;-1.07879303821415;-1.03195963553285;-1.02154818770882;-1.00655714034144;-1.02030236501802;-1.01407460953585;-1.02130350453413
-1.01287621455091;-1.0020067309696;-1.00043057923828;-1;-1.00386561238988;-1.01361274639246;-1.02303320250357;-1.01453595801026
-1.01200679331727;-1.02710787851299;-1.00400420258299;-1.01963325320002;-1.00171428571429;-1.00003926745836;-1.02073488746164;-1.01090597561105
-1.02164772554157;-1.01248226950355;-1.00664042610925;-1.01831113483527;-1.00774747052084;-1.00947623656776;-1.00486544412564;-1.02128287242282
-1.00721916004097;-1.01405107936118;-1.04804254890532;-1.01066283524431;-1.01526148369523;-1.01858925389844;-1.00966588592671;-1.01584939593772
-1.02616754497547;-1.01106226067225;-1.01706214771235;-1.01670691710816;-1.03171434069041;-1.01660034571863;-1.00901753583308;-1.01417564683561
-1.03176055417592;-1.03335618747343;-1.02796377190467;-1.01494870881722;-1.00155479934693;-1.02869732453414;-1.01627040400011;-1.01424984568524
-1.00780487804878;-1.0625;-1.01378040738535;-1.0234911036167;-1.0112282708635;-1.0180721318101;-1.0058583314486;-1.00954877079913
-1.00200622987171;-1.01757043320206;-1.03366011056451;-1.02836113421997;-1.01264408423381;-1.01992646954847;-1.012108277261;-1.00888774623126
-1.00051856240062;-1.00074854169796;-1.00180901323375;-1.00676661801778;-1.01345970243171;-1.01047452642089;-1.0183170996959;-1.02189462474874
-1.00578027633135;-1.0116105364673;-1.00181989273192;-1.02558599672039;-1.01095352091684;-1.01287330135375;-1.01227721907672;-1.01405786825557
-1.02770838064956;-1.00298909858164;-1.02849487195213;-1.0076708574495;-1.00242616451933;-1.01150630118288;-1.01629618582334;-1.01874950119724
-1;-1.0007756232687;-1.00721916004097;-1.01944900622003;-1.00410991571946;-1.01081529327804;-1.02650559231402;-1.01248922065284
-1.00428708915396;-1.02513712038091;-1.00011832354161;-1.03124493344301;-1.0142178361253;-1.02453781858315;-1.01070917928251;-1.02723790088562
-1.02253316372888;-1.01601162506451;-1.03448608893466;-1.02812143990669;-1.00467215100049;-1.00579130862625;-1.01948299395497;-1.01219822024736
-1.03993524015111;-1.0121778265227;-1.02594555383882;-1.04839170468181;-1.01672405312346;-1.01726359534445;-1.01561666955772;-1.01554883150468
-1.01224522041397;-1.02911751806941;-1.01823619793805;-1.01081311967591;-1.01040138725655;-1.00343269665763;-1.00986481170797;-1.00995408694122
-1.00173913043478;-1.00074854169796;-1.01179386818236;-1.03256662855132;-1.0155799172783;-1.0029675899228;-1.02345624349507;-1.00755279551215
-1.00428708915396;-1.00070544913287;-1.00272693017076;-1.00028019986738;-1.00342089636162;-1.01158736572552;-1.01398119848999;-1.0171802522103
-1.00041025977649;-1.04719283970708;-1.00050234087729;-1.00413980601116;-1.03360873195465;-1.01237962071507;-1.00604473175928;-1.01874276016685
-1.02216569767442;-1.02208099273223;-1.02682561465305;-1.00788156098028;-1.00541150047085;-1.01912026031115;-1.0181952941649;-1.01473242969371
-1.0016149068323;-1.02613231636941;-1.00858200367839;-1.02070788023256;-1.00918008888216;-1.00715122009873;-1.01526014282334;-1.00648695820428
-1.06598561899128;-1.00081255771006;-1.02125726744186;-1.01975419903918;-1.01315189493124;-1.00078384449106;-1.01017534731883;-1.02519606110246
-1.04316714576801;-1.02258441415292;-1.01529621721486;-1.04849356544431;-1.00869530208867;-1.01036610293738;-1.00508603094049;-1.00869437495649
-1.02662789112555;-1.00195538301243;-1.04739219219076;-1.00741463414634;-1.00224245223936;-1.01316050153615;-1.01860831153206;-1.01767717618667
-1.01011338047643;-1.05424120023081;-1.00670772608086;-1.03161910466174;-1.00296177756646;-1.0244783452406;-1.00734513774485;-1.01756503664188
-1.00163355559213;-1.017054062243;-1.03041421970434;-1.01881354954294;-1.00001604909074;-1.02687475836676;-1.01013794776118;-1.0156097108434
-1.03225153498414;-1.00016426855836;-1.03733424421346;-1.01432505451165;-1.01400405271488;-1.01830575535348;-1.02612850341597;-1.01273259641811
-1.0270552868906;-1.01704082408806;-1.01508160885285;-1.00157053517837;-1.02407421774101;-1.01007443049395;-1.0234268547384;-1.02060303555884
-1.02481028763575;-1.04541754842911;-1.02061676181909;-1.00371952806454;-1.01058370973119;-1.01613695921601;-1.00855307044304;-1.01230161249624
-1;-1.00514891195361;-1.0250979501448;-1.01976952346277;-1.00776874592792;-1.00466752830534;-1.02358568093572;-1.01865142272595
-1.00813650367328;-1.00914425842671;-1.01336452959294;-1.0434132246846;-1.01381788967556;-1.02645205578121;-1.01000433057415;-1.00850675102761
-1.0157079678741;-1.02816173234604;-1.00009830263778;-1.02246843451571;-1.00943990922071;-1.01534143953949;-1.01707540795711;-1.01779006988858
-1.00695164339289;-1.02007962610351;-1.04508983634907;-1.00604786462113;-1.01783593712272;-1.01525827064279;-1.01007795512947;-1.00424249728041
-1.0166118459973;-1.01106226067225;-1.01646119497229;-1.00292939995737;-1.01567675804484;-1.03164217898987;-1.00658685423613;-1.01771232874748
-1.04635444764512;-1.04541754842911;-1.02146385781614;-1.00733238247799;-1.00188297645435;-1.01885760399807;-1.00631531294189;-1.01348014630957
-1.02223494550139;-1.02523468254769;-1.01981609316302;-1.01170997635601;-1.00028771228771;-1.02493644311069;-1.01290491116484;-1.00332565023788
-1.00188200511185;-1.02031277050032;-1.01037515976242;-1.04574320353587;-1.02121121673078;-1.02221881653946;-1.00909156400057;-1.01848680795735
-1.02761627906977;-1.01381662070184;-1.00822029689354;-1.03124493344301;-1.02150975887234;-1.01651080610822;-1.01550624037587;-1.00827148322202
-1.04018532292905;-1.00305735719309;-1.0004555389322;-1.01271810005938;-1.01590554902623;-1.01350029814237;-1.0139710364146;-1.00619899609653
-1.00046276999019;-1.00339442484035;-1.00499666034626;-1.01630846572937;-1.01875322225932;-1.01261463833635;-1.00921892053993;-1.01406315850866
-1.00185713708964;-1.00529262325932;-1.02849026081264;-1.00960816100589;-1.00825384174972;-1.01542784269501;-1.01657236703366;-1.01887265503738
-1.02579941860465;-1.03917081738833;-1.02134908017261;-1.00007609556706;-1.00066809798212;-1.00709582823561;-1.00729915911824;-1.01121334939953
-1.0045202682998;-1.0358983125351;-1.0270175955715;-1.02617751582497;-1.00327228247136;-1.02101786488477;-1.01960987578895;-1.01167517209897
-1.00183238349613;-1.01748312272806;-1.01190742912557;-1.00466141732283;-1.02769012947868;-1.01537850116486;-1.01479464822369;-1.00624569579093
-1.01050635911209;-1.00914425842671;-1.01744193683373;-1.00808360566188;-1.03213832809422;-1.01649502249389;-1.01856332931194;-1.02027489827177
-1.00675585039572;-1.02816173234604;-1.00785860716375;-1.0171929833001;-1.03174134701595;-1.00854501683995;-1.0155800608677;-1.0134412970102
-1.01169359617588;-1.02293191825077;-1.01744746988223;-1.01598256447512;-1.00895654986334;-1.02582259033461;-1.00852787368033;-1.01432239286306
-1.02071597310558;-1.0116105364673;-1.01401671149342;-1.01877676629459;-1.01145736254184;-1.01858819934925;-1.00401233454643;-1.01574570799718
-1.07455749317018;-1.01511916440649;-1.00861492908909;-1.02774890799544;-1.00406419052562;-1.00947900966124;-1.01463802822583;-1.01176417225763
-1;-1.00081255771006;-1.03173746606182;-1.01432505451165;-1.00945806280744;-1.01615392090835;-1.01497181302637;-1.0065309253876
-1.01145520619371;-1.00083103260418;-1.02569609879315;-1.00256888007929;-1.0104708067046;-1.0119644737657;-1.0079725386239;-1.01515070154579
-1.00663511733424;-1.00017894069025;-1.00042434094547;-1.04088278022336;-1.00015804312857;-1.01908515424962;-1.01383190511238;-1.01620335950653
-1;-1.05450037873181;-1.00523696911984;-1.00694215456537;-1.00296008600038;-1.01527940673618;-1.00270922611198;-1.00694669138948
-1.03225153498414;-1.00677488414948;-1.00009429845702;-1.02450812893385;-1.0183530353936;-1.00773884219219;-1.01741279388713;-1.00943421126542
-1.04541754842911;-1.00747967479675;-1.01464302089958;-1.00696173387758;-1.01151259294795;-1.00465739266975;-1.00845813653585;-1.02152738047134
-1;-1.00524545433162;-1.00504443349043;-1.02340831511221;-1.01874680863211;-1.02241566819806;-1.02588611286777;-1.00424474848841
-1.00160869065624;-1.01921412497836;-1.03228053941299;-1.00939029200343;-1.00813154082851;-1.00511939820481;-1.01507748169216;-1.01543640326145
-1.0157079678741;-1.00085318717117;-1.00195810645981;-1;-1.00358211904174;-1.02027313877873;-1.0223702722501;-1.00861902979175
