40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.675;0.833333333333333;0.7375;0.66;0.66;0.69;0.705;0.6775
0.7;0.683333333333333;0.8;0.77;0.71;0.7275;0.693333333333333;0.69625
0.7;0.75;0.7375;0.64;0.755;0.7125;0.7;0.7125
0.65;0.55;0.75;0.77;0.705;0.69;0.676666666666667;0.69625
0.825;0.683333333333333;0.5875;0.67;0.715;0.6875;0.695;0.68
0.75;0.7;0.775;0.73;0.7;0.6975;0.693333333333333;0.69375
0.65;0.683333333333333;0.7625;0.65;0.725;0.6925;0.743333333333333;0.71375
0.725;0.616666666666667;0.775;0.69;0.715;0.73;0.703333333333333;0.6975
0.575;0.7;0.6625;0.65;0.72;0.69;0.698333333333333;0.7075
0.775;0.633333333333333;0.75;0.72;0.71;0.69;0.693333333333333;0.68
0.55;0.75;0.7;0.67;0.7;0.6975;0.7;0.705
0.7;0.683333333333333;0.675;0.73;0.705;0.725;0.688333333333333;0.69875
0.675;0.65;0.65;0.67;0.705;0.685;0.703333333333333;0.6925
0.7;0.7;0.6625;0.71;0.735;0.7275;0.688333333333333;0.68875
0.675;0.683333333333333;0.7;0.62;0.62;0.695;0.696666666666667;0.6975
0.8;0.716666666666667;0.775;0.64;0.665;0.725;0.686666666666667;0.64875
0.675;0.7;0.6875;0.67;0.74;0.71;0.666666666666667;0.73875
0.575;0.766666666666667;0.6625;0.74;0.725;0.7025;0.695;0.69625
0.675;0.666666666666667;0.625;0.78;0.68;0.7;0.735;0.69875
0.625;0.733333333333333;0.6875;0.77;0.695;0.74;0.708333333333333;0.675
0.675;0.683333333333333;0.6625;0.79;0.73;0.7125;0.7;0.72
0.625;0.733333333333333;0.725;0.74;0.765;0.6775;0.691666666666667;0.68625
0.7;0.716666666666667;0.7125;0.68;0.675;0.695;0.683333333333333;0.6925
0.85;0.716666666666667;0.6375;0.7;0.69;0.705;0.738333333333333;0.7025
0.775;0.766666666666667;0.675;0.71;0.71;0.6875;0.675;0.73625
0.7;0.6;0.7125;0.68;0.71;0.7175;0.706666666666667;0.6925
0.725;0.716666666666667;0.725;0.77;0.715;0.65;0.701666666666667;0.6725
0.75;0.633333333333333;0.65;0.77;0.69;0.7075;0.681666666666667;0.7175
0.875;0.683333333333333;0.65;0.66;0.76;0.685;0.686666666666667;0.70625
0.85;0.7;0.6875;0.73;0.685;0.6775;0.691666666666667;0.6925
0.65;0.816666666666667;0.7625;0.7;0.68;0.6975;0.728333333333333;0.685
0.6;0.766666666666667;0.6375;0.69;0.72;0.665;0.66;0.71
0.75;0.783333333333333;0.7125;0.74;0.745;0.705;0.686666666666667;0.6875
0.65;0.616666666666667;0.6;0.75;0.715;0.685;0.701666666666667;0.7
0.65;0.7;0.7;0.7;0.68;0.665;0.721666666666667;0.68875
0.8;0.7;0.675;0.75;0.63;0.7275;0.685;0.69875
0.725;0.766666666666667;0.7125;0.79;0.67;0.6675;0.673333333333333;0.68625
0.725;0.666666666666667;0.6625;0.69;0.72;0.715;0.691666666666667;0.69625
0.725;0.766666666666667;0.6875;0.64;0.735;0.7075;0.718333333333333;0.72875
0.6;0.7;0.65;0.74;0.745;0.6775;0.686666666666667;0.69875
0.7;0.75;0.6875;0.65;0.705;0.6925;0.703333333333333;0.6975
0.675;0.716666666666667;0.7;0.69;0.66;0.7175;0.71;0.67875
0.6;0.65;0.6625;0.78;0.69;0.695;0.731666666666667;0.7225
0.775;0.75;0.7;0.65;0.725;0.675;0.681666666666667;0.705
0.7;0.633333333333333;0.7375;0.69;0.71;0.6875;0.681666666666667;0.6825
0.675;0.766666666666667;0.625;0.65;0.715;0.7125;0.71;0.685
0.725;0.766666666666667;0.6875;0.67;0.67;0.71;0.718333333333333;0.68375
0.825;0.783333333333333;0.675;0.7;0.695;0.7175;0.71;0.71125
0.775;0.65;0.725;0.61;0.69;0.6925;0.731666666666667;0.685
0.725;0.733333333333333;0.675;0.64;0.715;0.695;0.713333333333333;0.6925
0.75;0.833333333333333;0.7625;0.78;0.66;0.6975;0.688333333333333;0.6975
0.75;0.666666666666667;0.625;0.58;0.73;0.6875;0.705;0.7075
0.725;0.733333333333333;0.575;0.71;0.745;0.6925;0.738333333333333;0.69
0.8;0.833333333333333;0.7625;0.68;0.655;0.73;0.69;0.6725
0.8;0.7;0.575;0.68;0.69;0.7075;0.723333333333333;0.6975
0.775;0.666666666666667;0.725;0.7;0.74;0.705;0.73;0.71
0.6;0.7;0.725;0.64;0.69;0.665;0.688333333333333;0.68875
0.8;0.666666666666667;0.7125;0.65;0.68;0.725;0.696666666666667;0.71125
0.75;0.7;0.75;0.68;0.735;0.73;0.735;0.68
0.725;0.816666666666667;0.7375;0.71;0.815;0.6875;0.688333333333333;0.72125
0.65;0.75;0.7375;0.7;0.74;0.665;0.703333333333333;0.72625
0.8;0.733333333333333;0.6625;0.77;0.72;0.73;0.723333333333333;0.7075
0.775;0.716666666666667;0.7375;0.67;0.695;0.705;0.701666666666667;0.71125
0.7;0.666666666666667;0.6375;0.65;0.705;0.705;0.668333333333333;0.7125
0.725;0.633333333333333;0.6875;0.7;0.71;0.73;0.703333333333333;0.68375
0.575;0.733333333333333;0.8;0.66;0.735;0.6975;0.685;0.6875
0.65;0.716666666666667;0.6875;0.67;0.755;0.7125;0.696666666666667;0.69875
0.65;0.65;0.6875;0.72;0.67;0.74;0.703333333333333;0.7025
0.7;0.733333333333333;0.625;0.58;0.72;0.7375;0.685;0.6875
0.725;0.716666666666667;0.725;0.8;0.75;0.695;0.696666666666667;0.69875
0.75;0.75;0.625;0.76;0.62;0.715;0.693333333333333;0.70375
0.625;0.733333333333333;0.675;0.68;0.705;0.71;0.71;0.70125
0.65;0.666666666666667;0.6125;0.66;0.635;0.6725;0.685;0.69625
0.65;0.55;0.7875;0.67;0.67;0.695;0.683333333333333;0.7225
0.625;0.783333333333333;0.725;0.61;0.725;0.68;0.716666666666667;0.72375
0.7;0.7;0.75;0.75;0.65;0.735;0.7;0.68125
0.7;0.533333333333333;0.725;0.61;0.67;0.6975;0.726666666666667;0.68625
0.525;0.683333333333333;0.7375;0.67;0.705;0.71;0.705;0.7025
0.75;0.683333333333333;0.6125;0.69;0.69;0.7075;0.711666666666667;0.7
0.7;0.8;0.7;0.75;0.69;0.7125;0.736666666666667;0.69875
0.8;0.666666666666667;0.6625;0.59;0.705;0.6875;0.701666666666667;0.69125
0.7;0.7;0.625;0.76;0.76;0.7075;0.715;0.67875
0.775;0.733333333333333;0.725;0.64;0.72;0.7375;0.71;0.71375
0.75;0.8;0.7;0.73;0.66;0.705;0.666666666666667;0.695
0.8;0.616666666666667;0.6625;0.71;0.75;0.71;0.698333333333333;0.7125
0.675;0.7;0.725;0.7;0.715;0.735;0.718333333333333;0.705
0.675;0.766666666666667;0.6375;0.7;0.745;0.74;0.71;0.68875
0.75;0.75;0.6125;0.68;0.71;0.7;0.686666666666667;0.705
0.75;0.65;0.625;0.71;0.74;0.6975;0.688333333333333;0.7025
0.775;0.8;0.65;0.76;0.68;0.7;0.688333333333333;0.69375
0.7;0.7;0.6625;0.74;0.69;0.6725;0.648333333333333;0.69625
0.675;0.683333333333333;0.7125;0.67;0.74;0.7225;0.678333333333333;0.69625
0.7;0.683333333333333;0.6375;0.74;0.695;0.7025;0.698333333333333;0.72125
0.725;0.75;0.6875;0.68;0.695;0.7025;0.733333333333333;0.6925
0.6;0.7;0.675;0.71;0.665;0.7325;0.696666666666667;0.72625
0.725;0.6;0.6625;0.8;0.65;0.69;0.733333333333333;0.74
0.85;0.733333333333333;0.65;0.67;0.69;0.7125;0.705;0.68625
0.725;0.733333333333333;0.6375;0.72;0.705;0.6725;0.726666666666667;0.71
0.65;0.616666666666667;0.65;0.7;0.685;0.7125;0.693333333333333;0.72125
0.7;0.683333333333333;0.6875;0.72;0.705;0.7125;0.715;0.6875
0.65;0.7;0.5875;0.65;0.71;0.66;0.701666666666667;0.72875
0.7;0.766666666666667;0.7;0.72;0.71;0.6775;0.705;0.70375
0.6;0.75;0.6625;0.73;0.65;0.6925;0.713333333333333;0.675
0.65;0.766666666666667;0.6875;0.68;0.635;0.725;0.681666666666667;0.70625
0.75;0.766666666666667;0.775;0.7;0.74;0.7225;0.706666666666667;0.7125
0.775;0.733333333333333;0.7;0.65;0.675;0.6775;0.665;0.675
0.85;0.683333333333333;0.6625;0.64;0.705;0.71;0.705;0.7
0.525;0.766666666666667;0.7375;0.68;0.73;0.6475;0.681666666666667;0.71625
0.625;0.7;0.7375;0.69;0.67;0.7125;0.753333333333333;0.71125
0.775;0.766666666666667;0.725;0.74;0.69;0.72;0.686666666666667;0.7025
0.875;0.633333333333333;0.7875;0.71;0.735;0.735;0.685;0.69875
0.65;0.833333333333333;0.675;0.78;0.73;0.6825;0.685;0.7075
0.75;0.716666666666667;0.7375;0.68;0.73;0.6825;0.708333333333333;0.70625
0.625;0.716666666666667;0.7;0.69;0.725;0.71;0.685;0.6875
0.675;0.716666666666667;0.7;0.71;0.705;0.695;0.69;0.67875
0.75;0.783333333333333;0.6;0.75;0.71;0.705;0.711666666666667;0.685
0.625;0.733333333333333;0.7625;0.74;0.685;0.7025;0.693333333333333;0.7025
0.725;0.666666666666667;0.6625;0.7;0.685;0.67;0.68;0.68375
0.725;0.716666666666667;0.625;0.61;0.705;0.755;0.713333333333333;0.69375
0.725;0.683333333333333;0.6875;0.76;0.685;0.7175;0.725;0.69
0.725;0.7;0.6875;0.69;0.69;0.745;0.711666666666667;0.7375
0.8;0.666666666666667;0.6875;0.73;0.62;0.7;0.686666666666667;0.69125
0.8;0.683333333333333;0.6625;0.78;0.705;0.6625;0.721666666666667;0.71125
0.725;0.633333333333333;0.825;0.7;0.72;0.73;0.69;0.68875
0.8;0.566666666666667;0.65;0.71;0.75;0.735;0.703333333333333;0.71125
0.75;0.683333333333333;0.8125;0.66;0.71;0.6925;0.671666666666667;0.675
0.675;0.75;0.6125;0.69;0.66;0.72;0.681666666666667;0.67875
