40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.4;0.65;0.8375;0.76;0.75;0.6575;0.64;0.63
0.2;0.833333333333333;0.3;0.56;0.59;0.485;0.623333333333333;0.55875
0.5;0.616666666666667;0.675;0.38;0.56;0.65;0.765;0.43625
0.925;0.633333333333333;0.725;0.27;0.58;0.53;0.583333333333333;0.46875
0.925;1.03333333333333;0.525;0.53;0.31;0.685;0.471666666666667;0.565
0.8;0.0833333333333333;0.725;0.88;0.425;0.47;0.76;0.5425
0.65;0.733333333333333;0.2625;0.8;0.73;0.575;0.603333333333333;0.63875
0.775;0.6;0.6375;0.62;0.485;0.525;0.56;0.6075
1.3;0.666666666666667;0.6625;0.35;0.49;0.635;0.575;0.6875
0.425;0.916666666666667;1.025;0.67;0.395;0.7375;0.513333333333333;0.625
0.275;0.7;0.2875;0.74;0.545;0.465;0.528333333333333;0.545
1.225;0.6;0.3125;0.64;0.27;0.48;0.621666666666667;0.5975
0.6;0.25;0.4125;0.41;0.685;0.7375;0.513333333333333;0.51375
0.325;0.0833333333333333;0.9875;0.73;0.725;0.6125;0.576666666666667;0.52625
0.5;0.55;1.275;0.62;0.35;0.52;0.595;0.7575
0.1;0.416666666666667;0.575;0.63;0.385;0.475;0.618333333333333;0.69875
0.35;0.433333333333333;0.475;0.48;0.585;0.55;0.523333333333333;0.44875
0.875;0.716666666666667;0.875;0.39;0.475;0.6825;0.586666666666667;0.70875
0.675;0.516666666666667;0.25;0.79;0.72;0.8375;0.535;0.57125
0.2;0.766666666666667;0.3375;0.71;0.82;0.7475;0.62;0.64125
0.925;0.683333333333333;0.125;0.87;0.585;0.785;0.528333333333333;0.49875
0.575;0.6;0.275;0.18;0.415;0.5975;0.611666666666667;0.54375
0.225;1;1.025;0.78;0.735;0.475;0.655;0.665
0.225;0.816666666666667;0.9375;0.4;0.675;0.5225;0.825;0.8275
1.375;1.1;0.9;0.71;0.395;0.48;0.656666666666667;0.5775
1.175;0.283333333333333;0.7125;1.16;0.82;0.655;0.87;0.52875
0.625;1.06666666666667;0.2375;0.58;0.765;0.7975;0.528333333333333;0.56
0.55;0.55;0.625;0.51;0.51;0.65;0.541666666666667;0.61375
0.35;0.516666666666667;0.4875;0.42;0.795;0.5;0.51;0.58875
0.675;0.683333333333333;1.125;0.55;0.92;0.505;0.586666666666667;0.54125
0.025;0.9;0.4625;0.58;0.54;0.9125;0.626666666666667;0.59625
0.35;0.6;0.4875;0.52;0.38;0.63;0.54;0.63875
0.325;0.75;0.425;1.38;0.8;0.4675;0.453333333333333;0.58375
0.25;0.183333333333333;0.825;0.58;0.74;0.6075;0.66;0.67125
0.825;0.616666666666667;0.5;0.71;0.515;0.75;0.658333333333333;0.5475
0.4;0.2;0.5625;0.73;0.735;0.545;0.628333333333333;0.61375
0.1;0.516666666666667;0.9625;0.5;0.445;0.5575;0.698333333333333;0.59375
1;0.666666666666667;0.25;0.77;0.505;0.4325;0.645;0.48
0.35;0.5;0.6125;0.29;0.66;0.6575;0.386666666666667;0.64375
0.825;0.45;0.3375;0.69;0.74;0.795;0.683333333333333;0.51125
0.4;0.533333333333333;1.025;0.22;0.66;0.5075;0.611666666666667;0.565
0.125;0.433333333333333;1.2375;0.43;0.435;0.5875;0.448333333333333;0.62125
0.65;0.45;0.275;0.47;0.735;0.6425;0.441666666666667;0.73875
0.575;1.23333333333333;0.5625;0.78;0.895;0.5075;0.488333333333333;0.69
0.35;0.7;0.6125;0.63;0.605;0.53;0.485;0.525
0.525;1.43333333333333;0.375;0.17;0.755;0.7025;0.6;0.60375
0.225;0.766666666666667;0.4125;0.45;0.63;0.705;0.57;0.61375
1.025;0.566666666666667;0.9125;0.43;0.655;0.5975;0.668333333333333;0.66
0.075;0.566666666666667;0.4375;0.38;0.55;0.6125;0.618333333333333;0.57125
0.25;0.316666666666667;0.4875;0.71;0.805;0.4325;0.56;0.67375
0.9;0.616666666666667;0.475;0.27;0.435;0.5175;0.646666666666667;0.55
0.5;0.133333333333333;0.6875;0.4;0.685;0.28;0.601666666666667;0.65375
1.1;1.18333333333333;0.5875;0.48;0.92;0.8575;0.52;0.60875
0.575;0.366666666666667;0.475;0.68;0.37;0.8425;0.523333333333333;0.51
0.75;0.333333333333333;0.4125;0.84;0.46;0.66;0.593333333333333;0.52375
0.45;0.383333333333333;0.8125;0.45;0.675;0.5225;0.613333333333333;0.5675
0.225;1.03333333333333;0.4125;0.4;0.52;0.6175;0.611666666666667;0.77
0.45;0.55;0.875;0.43;0.625;0.385;0.528333333333333;0.48125
0.575;0.833333333333333;0.1;0.58;0.605;0.45;0.676666666666667;0.58625
0.475;0.566666666666667;0.775;0.59;0.75;0.7025;0.635;0.49625
0.275;0.433333333333333;0.525;0.41;0.4;0.69;0.653333333333333;0.515
0.35;0.05;0.35;0.43;0.555;0.465;0.405;0.6675
0.375;0.65;0.725;0.53;0.52;0.6125;0.52;0.56125
0.35;0.4;0.55;0.75;0.565;0.515;0.538333333333333;0.6475
0.475;0.9;0.5875;0.51;0.65;0.4325;0.498333333333333;0.49125
0.575;1.01666666666667;0.5875;0.27;0.94;0.61;0.54;0.4775
0.65;0.216666666666667;0.6375;0.32;0.51;0.4875;0.641666666666667;0.595
0.275;0.55;0.2;0.66;0.695;0.495;0.773333333333333;0.54625
0.075;0.25;0.05;0.61;0.445;0.5675;0.601666666666667;0.545
1.075;0.4;0.5;0.82;0.505;0.47;0.44;0.6725
0.6;1.06666666666667;0.6;0.42;0.54;0.7175;0.571666666666667;0.55375
0.525;0.216666666666667;1.025;0.89;0.93;0.5325;0.518333333333333;0.5925
0.675;0.85;0.35;0.36;0.34;0.6625;0.5;0.67
1.125;0.616666666666667;0.9125;0.27;0.39;0.56;0.591666666666667;0.5425
0.25;0.583333333333333;0.725;0.97;0.535;0.65;0.501666666666667;0.57375
0.375;0.566666666666667;0.3375;0.45;0.985;0.66;0.656666666666667;0.72625
0.075;0.65;0.9625;0.57;0.51;0.37;0.593333333333333;0.60125
0.1;0.633333333333333;0.7;0.73;0.8;0.5875;0.526666666666667;0.5875
0.575;0.966666666666667;0.8375;0.4;0.445;0.6375;0.49;0.69
0.3;0.55;0.525;1.02;0.65;0.685;0.621666666666667;0.645
0.55;0.4;0.4;0.08;0.695;0.645;0.663333333333333;0.6325
0.4;0.583333333333333;0.475;0.27;0.3;0.5075;0.661666666666667;0.565
0.325;1.05;0.65;0.74;0.63;0.72;0.596666666666667;0.5725
0.125;0.816666666666667;0.475;0.88;0.44;0.5975;0.555;0.61
0.975;1.08333333333333;0.5875;0.33;0.57;0.6625;0.546666666666667;0.5725
0.4;0.766666666666667;0.7;0.97;0.705;0.7625;0.576666666666667;0.5025
0.65;0.45;0.325;0.43;0.91;0.6475;0.551666666666667;0.6
0.45;0.0666666666666667;0.9875;0.51;0.66;0.5125;0.736666666666667;0.64875
0.9;1.08333333333333;0.8;0.83;0.58;0.4725;0.568333333333333;0.5375
0.425;0.466666666666667;0.6625;0.59;0.675;0.7575;0.723333333333333;0.50625
1.1;0.65;0.45;0.96;0.34;0.5875;0.655;0.7875
0.85;0.616666666666667;0.35;0.45;0.74;0.445;0.473333333333333;0.6875
0.2;0.85;0.7125;0.63;0.64;0.61;0.578333333333333;0.54625
1.675;0.516666666666667;0.525;1.01;0.46;0.7475;0.576666666666667;0.705
0.35;0.316666666666667;0.7625;0.5;0.725;0.5475;0.68;0.75125
1.3;0.666666666666667;0.825;0.75;0.76;0.8;0.603333333333333;0.53
0.55;0.316666666666667;0.3125;1.07;0.53;0.565;0.633333333333333;0.56375
0.975;0.95;0.65;0.87;0.61;0.7575;0.673333333333333;0.55375
0.05;0.133333333333333;0.8625;0.73;0.595;0.595;0.53;0.69625
0.9;0.75;0.775;0.64;0.985;0.6425;0.663333333333333;0.52125
0.525;0.766666666666667;0.7875;0.61;0.535;0.55;0.56;0.65875
0.2;0.433333333333333;0.6875;0.64;0.545;0.525;0.555;0.4925
0.725;0.566666666666667;0.55;0.61;0.615;0.785;0.658333333333333;0.73875
0.525;0.833333333333333;0.5;0.88;0.65;0.445;0.675;0.57625
0.275;0.466666666666667;0.3125;0.72;0.83;0.815;0.748333333333333;0.51
0.625;0.766666666666667;0.375;0.4;0.37;0.4375;0.611666666666667;0.50375
0.575;0.0333333333333333;0.75;1.14;0.62;0.4975;0.51;0.66375
0.7;1.08333333333333;0.6125;0.57;0.845;0.96;0.78;0.55625
0.1;0.416666666666667;0.5375;0.6;0.635;0.5075;0.625;0.61375
0.1;0.0666666666666667;0.425;0.51;0.45;0.56;0.676666666666667;0.54375
0.025;0.633333333333333;0.4875;0.38;0.445;0.7625;0.553333333333333;0.47375
0.65;0.233333333333333;0.2875;0.57;0.505;0.575;0.701666666666667;0.52375
0.15;0.65;0.25;0.24;0.605;0.59;0.631666666666667;0.6175
0.45;0.383333333333333;0.3375;0.75;0.45;0.585;0.591666666666667;0.7725
0.075;1.3;0.675;1.19;0.69;0.5325;0.501666666666667;0.6625
0.65;0.966666666666667;0.6125;0.4;0.35;0.505;0.621666666666667;0.525
0.825;0.816666666666667;0.4625;0.41;0.595;0.4875;0.638333333333333;0.47875
0.35;0.95;0.2875;0.9;0.725;0.4775;0.651666666666667;0.67375
1;0.866666666666667;0.7125;0.68;0.47;0.7525;0.583333333333333;0.585
0.925;0.583333333333333;0.6;0.6;0.76;0.6725;0.616666666666667;0.6525
0.35;0.483333333333333;0.2375;0.82;0.345;0.6575;0.496666666666667;0.5825
1.025;0.566666666666667;0.5125;0.68;0.48;0.7225;0.611666666666667;0.54875
0.65;0.1;0.6375;0.5;0.405;0.6975;0.496666666666667;0.46375
0.575;0.6;1;0.78;0.63;0.7325;0.773333333333333;0.63
0.125;0.65;0.425;0.4;0.82;0.455;0.5;0.73875
1.3;0.7;0.525;0.32;0.79;0.485;0.63;0.71
0.65;1.3;0.1375;0.55;0.735;0.3125;0.586666666666667;0.47
1.15;0.483333333333333;0.625;0.58;0.59;0.8075;0.763333333333333;0.6625
0.375;0.116666666666667;0.6;0.73;0.855;0.5275;0.545;0.54625
0.75;0.283333333333333;0.7625;0.33;0.61;0.6425;0.588333333333333;0.735
0.3;0.433333333333333;1.3125;0.41;0.875;0.465;0.51;0.64
0.15;0.116666666666667;0.5875;0.26;0.76;0.57;0.598333333333333;0.62875
0.225;0.4;0.6;0.56;0.415;0.6625;0.565;0.5175
0.075;0.45;0.7875;0.33;0.585;0.705;0.58;0.6025
0.675;0.616666666666667;0.575;0.96;0.8;0.6075;0.551666666666667;0.4675
0.975;0.866666666666667;0.7625;0.51;0.615;0.4125;0.658333333333333;0.55125
1.45;0.85;0.7;0.41;0.85;0.6625;0.546666666666667;0.74125
0.725;1.21666666666667;1.025;0.49;0.58;0.47;0.703333333333333;0.4425
1.25;0.45;0.5375;0.48;0.46;0.93;0.658333333333333;0.6275
0.5;0.583333333333333;0.5375;0.44;0.48;0.46;0.46;0.64875
0.15;0.466666666666667;0.825;1.07;0.4;0.68;0.723333333333333;0.64
0.775;0.216666666666667;0.65;0.54;0.495;0.6025;0.6;0.61875
0.25;0.3;1.1875;1.09;0.58;0.545;0.586666666666667;0.64375
1.65;0.783333333333333;0.35;0.32;0.665;0.53;0.625;0.67625
0.95;0.216666666666667;0.55;0.81;0.665;0.425;0.525;0.66625
0.65;1.08333333333333;0.2125;0.66;0.44;0.72;0.678333333333333;0.595
0.65;1.23333333333333;0.7375;0.45;0.685;0.54;0.568333333333333;0.655
0.275;0.15;0.4125;0.43;0.51;0.5275;0.59;0.70625
0.925;0.516666666666667;0.4875;0.73;0.415;0.45;0.521666666666667;0.6525
0.35;0.5;0.525;0.74;0.38;0.875;0.568333333333333;0.85375
0.425;0.833333333333333;0.7375;0.8;0.78;0.5075;0.621666666666667;0.7
1;0.333333333333333;0.25;0.81;0.51;0.64;0.625;0.79125
0.225;1.15;0.5625;0.14;0.355;0.5525;0.576666666666667;0.58875
1.375;0.433333333333333;0.6;0.73;0.675;0.7475;0.578333333333333;0.6125
