40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
4.275;3.6;4.7625;4.056;3.79835;3.807875;3.91613888888889;3.8784
3.485;3.78166666666667;3.85;3.483;3.83825;3.9427125;3.89282222222222;3.9605125
3.55625;3.81111111111111;4.0578125;4.0158;4.38245;4.0757875;4.3128;4.047375
4.2925;4.59166666666667;3.6515625;4.1088;4.33925;3.9988625;4.13651666666667;3.94315625
4.6025;4.225;4.26875;4.292;4.00375;3.77;4.06466666666667;3.958459375
4.03;3.45;3.9890625;4.333;3.9485;4.3622125;4.05117777777778;4.05495
4.71;4.16666666666667;3.578125;4.1104;3.99785;4.17015;3.64745;4.0194625
3.7875;3.92888888888889;4.22625;4.4368;4.0941;3.9958125;4.00317222222222;3.93075
3.59;4.22666666666667;3.745;4.2288;4.17;4.0718;4.08127777777778;4.0261
4.1475;4.03;3.9953125;3.7968;4.0456;4.0428;3.93021666666667;3.960515625
3.575;4.09333333333333;4.20875;4.0786;4.053;3.9496875;4.0018;3.959175
4.56;3.77833333333333;4.2875;4.0648;4.14765;3.94;3.96776666666667;3.8695
4.1;4.39555555555556;3.33;4.41;3.895;3.74645;4.1872;3.98625
3.4925;3.95333333333333;4.0775;3.9684;3.9741;4.013875;4.04573333333333;3.9173625
3.4;4.1;3.7234375;3.9214;3.81625;3.8814;4.15027777777778;4.048984375
4.38125;2.97666666666667;4.15625;3.4104;3.9814;3.746;4.11047777777778;4.11813125
4.075;3.38166666666667;4.22125;3.8402;4.2351;4.0186;4.04355555555556;3.929
3.6675;4.52666666666667;4.005;4.0448;3.8319;4.261025;3.8606;3.95406875
3.5525;3.8;4.7715625;4.162;3.93335;3.7745;4.0331;3.7413
3.66875;3.92666666666667;3.58875;3.9136;3.736;4.213675;3.95661666666667;4.04216875
3.445;3.71666666666667;3.8953125;3.8412;4.0454;4.1234375;3.9316;4.00939375
2.545;3.84166666666667;3.4553125;4.6526;4.044;3.86305;3.90436666666667;4.03085625
3.67;3.70611111111111;3.5209375;3.8814;4.3028;3.85585;3.94;4.032628125
4.145;4.18333333333333;4.535;4.4674;4.0415;4.143075;3.93661111111111;4.000965625
4.285;3.94666666666667;4.4496875;3.9712;4.2917;4.1205625;4.13413333333333;3.8771625
3.8875;3.21555555555556;4.564375;3.8064;3.90715;3.7538125;4.18541666666667;3.935125
4.1725;4.1;3.50375;3.903;4.1831;4.0291;4.0129;4.054690625
3.44875;3.21;3.7175;4.2416;4.0382;4.1367;3.94236666666667;4.024175
3.79875;4.27222222222222;3.68;4.4304;3.8253;3.5897;3.82315;4.01503125
4.2875;3.45;3.895;3.7972;3.8856;3.9007875;3.92;3.88478125
3.6725;4.28055555555556;4.188125;3.863;4.3738;4.06885;3.77875;4.15623125
4.45;4.26055555555556;3.689375;3.8498;3.74505;4.1264;4.02991666666667;4.05633125
3.5025;4.17555555555556;4.8009375;4.188;3.7112;3.90175;3.85737222222222;4.27415625
4.20625;4.86777777777778;4.5278125;3.9646;4.04225;3.98775;3.98506666666667;4.28234375
3.7475;3.11666666666667;4.075;4.9316;4.2612;3.9907;4.13926666666667;3.9047875
3.585;3.54833333333333;3.73375;3.4844;3.7213;4.0739875;4.0105;3.8586
4.05;3.86555555555556;3.578125;3.7744;3.7643;4.1291;3.99952222222222;3.99575
3.01875;3.97333333333333;3.3484375;3.9892;4.4525;4.028625;3.97722222222222;3.864821875
4.56875;4.58222222222222;3.69875;3.514;3.86875;3.821625;4.00023888888889;4.09359375
4.2625;4.39444444444444;3.403125;3.5768;3.95025;3.99315;3.88616111111111;4.0228625
3.4;3.44222222222222;4.8534375;3.639;4.358;3.5925;4.11167777777778;3.909428125
3.8475;4.12;4.225;3.7992;3.8941;4.009525;3.78783333333333;4.15155
3.66;3.82777777777778;3.8434375;4.2748;3.8359;4.302575;3.87764444444444;4.153725
3.6375;3.44388888888889;4.05875;3.972;3.7458;4.0471;3.96476666666667;3.9965625
3.92;3.88611111111111;3.895;4.5012;3.5926;3.88425;4.17533333333333;3.9975
3.42;4.26277777777778;3.1996875;3.914;3.9316;4.047725;4.00321666666667;3.91235625
