40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.783125;0.790555555555556;0.7884375;0.7942;0.7982;0.79935625;0.798780555555556;0.7998125
0.789375;0.790833333333333;0.79;0.7859;0.797475;0.79631875;0.797861111111111;0.7998296875
0.795;0.780555555555556;0.7828125;0.7963;0.7937;0.7981375;0.796663888888889;0.79940625
0.800625;0.781666666666667;0.79734375;0.7987;0.7981;0.79974375;0.798725;0.7984609375
0.78875;0.793888888888889;0.79140625;0.7964;0.795025;0.7989;0.799166666666667;0.798909375
0.79;0.794722222222222;0.79578125;0.7973;0.79905;0.79525625;0.799680555555556;0.798803125
0.78375;0.792222222222222;0.7871875;0.7928;0.79855;0.7993625;0.796930555555556;0.79948125
0.78875;0.78;0.7978125;0.7868;0.79755;0.79950625;0.799280555555556;0.798665625
0.7925;0.791111111111111;0.79390625;0.7897;0.793275;0.799525;0.797536111111111;0.7971328125
0.730625;0.788611111111111;0.7959375;0.7988;0.7943;0.79896875;0.797616666666667;0.7984953125
0.78625;0.790833333333333;0.7878125;0.796;0.795175;0.79624375;0.799472222222222;0.799878125
0.7825;0.7975;0.79546875;0.7906;0.79085;0.797975;0.799088888888889;0.7996203125
0.771875;0.785277777777778;0.78234375;0.7956;0.79885;0.7987375;0.797988888888889;0.7998
0.77125;0.796388888888889;0.79828125;0.7917;0.799325;0.79935625;0.797238888888889;0.798396875
0.774375;0.785555555555556;0.7975;0.7917;0.797325;0.7984375;0.798983333333333;0.7998984375
0.7925;0.768055555555556;0.7959375;0.7926;0.797275;0.79746875;0.7988;0.7989484375
0.77875;0.781944444444444;0.79703125;0.7938;0.796725;0.799325;0.799727777777778;0.7992484375
0.791875;0.795555555555556;0.7925;0.7982;0.792;0.79810625;0.799702777777778;0.799621875
0.79375;0.796111111111111;0.7875;0.7988;0.79955;0.79906875;0.799177777777778;0.7974671875
0.77625;0.790833333333333;0.795625;0.7963;0.7958;0.79895625;0.79855;0.800084375
0.790625;0.788055555555556;0.79375;0.7988;0.7958;0.79803125;0.799019444444444;0.7990953125
0.75375;0.795277777777778;0.785625;0.7835;0.79895;0.79834375;0.799908333333333;0.7996421875
0.791875;0.7925;0.795;0.7989;0.7977;0.79615625;0.799172222222222;0.79969375
