40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.025;0.05;0.0375;0.07;0.04;0.0675;0.0416666666666667;0.055
0.025;0.05;0.0375;0.04;0.035;0.03;0.0333333333333333;0.045
0.025;0.0333333333333333;0.025;0.03;0.04;0.055;0.05;0.0425
0.05;0.0333333333333333;0.075;0.03;0.045;0.045;0.0533333333333333;0.04125
0.075;0.0833333333333333;0.0375;0.04;0.03;0.07;0.0516666666666667;0.055
0.1;0.0333333333333333;0.075;0.05;0.025;0.035;0.065;0.04875
0.1;0.0666666666666667;0.025;0.06;0.065;0.05;0.0616666666666667;0.05375
0.05;0.05;0.0875;0.04;0.03;0.0575;0.0466666666666667;0.04375
0.125;0.0666666666666667;0.05;0.02;0.03;0.05;0.0433333333333333;0.045
0.05;0.05;0.0875;0.04;0.015;0.07;0.0333333333333333;0.045
0.025;0.05;0.025;0.08;0.055;0.0525;0.0416666666666667;0.04
0.075;0.05;0;0.04;0.025;0.04;0.045;0.04875
0.025;0.05;0.0125;0.04;0.065;0.065;0.0333333333333333;0.0475
0.025;0.0166666666666667;0.0625;0.03;0.05;0.0475;0.0483333333333333;0.0425
0.025;0.0333333333333333;0.075;0.03;0.025;0.055;0.0516666666666667;0.0575
0.1;0.05;0.025;0.06;0.045;0.05;0.055;0.05625
0.05;0.0666666666666667;0.0375;0.02;0.035;0.0425;0.0466666666666667;0.03375
0.125;0.0666666666666667;0.075;0.03;0.03;0.0625;0.0516666666666667;0.05375
0.025;0.05;0;0.06;0.065;0.0675;0.0416666666666667;0.045
0.025;0.05;0.025;0.03;0.06;0.055;0.06;0.0525
0.075;0.05;0.025;0.05;0.045;0.065;0.045;0.03375
0.05;0.0666666666666667;0;0.03;0.04;0.065;0.0416666666666667;0.05125
0.025;0.0833333333333333;0.0625;0.03;0.065;0.035;0.045;0.0425
0.025;0.05;0.075;0.03;0.065;0.045;0.0633333333333333;0.0675
0.1;0.133333333333333;0.075;0.05;0.04;0.0275;0.0533333333333333;0.045
0.05;0.0333333333333333;0.0625;0.08;0.065;0.0425;0.0666666666666667;0.04625
0.05;0.05;0.05;0.04;0.065;0.075;0.045;0.05625
0.025;0.05;0.05;0.04;0.04;0.0475;0.0433333333333333;0.06625
0.025;0.05;0.05;0.03;0.05;0.0325;0.04;0.055
0.1;0.0666666666666667;0.075;0.03;0.05;0.045;0.045;0.03375
0;0.1;0.0375;0.07;0.05;0.065;0.0566666666666667;0.05
0.025;0.0666666666666667;0.0375;0.04;0.01;0.0475;0.0533333333333333;0.0525
0.1;0.0833333333333333;0.0375;0.07;0.03;0.0425;0.0383333333333333;0.0475
0.05;0;0.075;0.04;0.05;0.04;0.055;0.055
0.05;0.05;0.025;0.1;0.045;0.0425;0.0633333333333333;0.05375
0.025;0;0.0625;0.07;0.08;0.05;0.0466666666666667;0.05375
0;0.05;0.05;0.05;0.035;0.04;0.045;0.04375
0.05;0.0333333333333333;0.05;0.05;0.055;0.045;0.0466666666666667;0.04375
0.05;0.05;0.0375;0.05;0.06;0.0575;0.02;0.04625
0.075;0.05;0.0375;0.05;0.05;0.065;0.05;0.045
0.05;0.0333333333333333;0.0625;0.03;0.05;0.0525;0.055;0.04625
0.025;0;0.1;0.02;0.02;0.0525;0.0316666666666667;0.055
0.05;0.0333333333333333;0.025;0.04;0.045;0.0475;0.0433333333333333;0.05125
0.025;0.1;0.0625;0.06;0.065;0.045;0.035;0.055
0;0.0833333333333333;0.0625;0.04;0.055;0.0325;0.0433333333333333;0.04125
0.05;0.1;0.025;0.02;0.065;0.055;0.0633333333333333;0.045
0;0.05;0.0375;0.06;0.04;0.055;0.0433333333333333;0.03625
0.075;0.05;0.075;0.02;0.04;0.0275;0.0566666666666667;0.04375
0.025;0.0666666666666667;0.025;0.02;0.045;0.045;0.0516666666666667;0.03625
0.025;0;0.0625;0.05;0.065;0.035;0.0533333333333333;0.05
0.075;0.0833333333333333;0.0375;0.03;0.035;0.0475;0.0566666666666667;0.045
0.075;0.0166666666666667;0.0375;0.02;0.04;0.015;0.0416666666666667;0.0575
0.05;0.0666666666666667;0.05;0.05;0.075;0.055;0.04;0.05125
0.025;0.0166666666666667;0.0375;0.06;0.035;0.0625;0.0416666666666667;0.04375
0.05;0.0333333333333333;0.05;0.06;0.025;0.04;0.0516666666666667;0.045
0.075;0.05;0.05;0.02;0.05;0.0375;0.0566666666666667;0.0525
0.05;0.05;0.0375;0.01;0.06;0.06;0.0533333333333333;0.055
0.05;0.0166666666666667;0.05;0.03;0.05;0.0325;0.0483333333333333;0.0375
0.05;0.05;0.0375;0.04;0.045;0.0425;0.0516666666666667;0.045
0.075;0.0666666666666667;0.0625;0.04;0.08;0.045;0.0466666666666667;0.05125
0.05;0.0333333333333333;0.025;0.04;0.03;0.0475;0.0433333333333333;0.0475
0;0;0.025;0.03;0.05;0.0375;0.04;0.05875
0.025;0.0666666666666667;0.0375;0.03;0.045;0.0525;0.0433333333333333;0.0475
0.05;0.0166666666666667;0.05;0.06;0.035;0.0425;0.0416666666666667;0.04
0.05;0.0833333333333333;0.05;0.05;0.07;0.0375;0.03;0.035
0.075;0.05;0.0375;0.04;0.065;0.045;0.05;0.04
0.05;0.0333333333333333;0.05;0.02;0.035;0.0475;0.05;0.05
0.025;0.0833333333333333;0.025;0.06;0.045;0.0425;0.06;0.035
0;0.0166666666666667;0;0.06;0.025;0.05;0.0483333333333333;0.04875
0.05;0;0.05;0.06;0.035;0.0525;0.0316666666666667;0.055
0.025;0.0833333333333333;0.05;0.02;0.035;0.0575;0.04;0.05375
0.025;0.05;0.1;0.07;0.06;0.0525;0.035;0.0525
0.1;0.0666666666666667;0.05;0.04;0.035;0.0625;0.0366666666666667;0.06875
0.05;0.05;0.1125;0.03;0.03;0.0475;0.0366666666666667;0.05
0.05;0.0333333333333333;0.05;0.05;0.04;0.065;0.05;0.045
0.05;0.05;0.0375;0.05;0.08;0.055;0.0516666666666667;0.0475
0.025;0.05;0.05;0.04;0.03;0.035;0.0483333333333333;0.05625
0.025;0.0666666666666667;0.0375;0.07;0.05;0.0625;0.0283333333333333;0.04875
0.05;0.0666666666666667;0.0625;0.03;0.03;0.0525;0.045;0.05125
0.025;0.05;0.0375;0.09;0.05;0.04;0.05;0.0475
0;0.05;0.0375;0.02;0.045;0.05;0.0433333333333333;0.0425
0;0.05;0.075;0.02;0.025;0.0375;0.0566666666666667;0.05
0.05;0.0666666666666667;0.075;0.06;0.03;0.0775;0.0433333333333333;0.04125
0.025;0.0666666666666667;0.0125;0.07;0.025;0.0425;0.055;0.04625
0.05;0.1;0.0375;0.02;0.04;0.05;0.0416666666666667;0.04
0.05;0.05;0.075;0.06;0.07;0.0575;0.0383333333333333;0.0425
0.05;0.0333333333333333;0.025;0.03;0.07;0.0475;0.0283333333333333;0.0375
0.025;0;0.0875;0.05;0.035;0.05;0.06;0.0475
0.05;0.133333333333333;0.0625;0.05;0.04;0.0375;0.0433333333333333;0.03125
0.025;0.0333333333333333;0.025;0.06;0.05;0.0475;0.0583333333333333;0.03625
0.025;0.0333333333333333;0.0375;0.05;0.035;0.045;0.0483333333333333;0.05625
0.05;0.05;0.0125;0.03;0.06;0.03;0.035;0.05875
0;0.0833333333333333;0.0875;0.04;0.055;0.06;0.0383333333333333;0.0425
0.175;0.0166666666666667;0.0125;0.11;0.04;0.055;0.0516666666666667;0.05125
0.025;0.0333333333333333;0.0625;0.05;0.065;0.05;0.0616666666666667;0.055
0.1;0.0333333333333333;0.025;0.07;0.055;0.065;0.0633333333333333;0.03625
0;0.0333333333333333;0.025;0.1;0.065;0.0575;0.055;0.055
0.075;0.0333333333333333;0.0875;0.04;0.05;0.055;0.0533333333333333;0.05
0;0;0.0375;0.06;0.065;0.045;0.0366666666666667;0.04875
0.05;0.0333333333333333;0.025;0.05;0.085;0.0525;0.0416666666666667;0.0525
0.05;0.0333333333333333;0.0375;0.05;0.04;0.0475;0.0433333333333333;0.0575
0.025;0.05;0.025;0.05;0.04;0.0425;0.05;0.0425
0.025;0.0166666666666667;0.0125;0.04;0.045;0.07;0.06;0.07
0.025;0.05;0.05;0.02;0.04;0.0325;0.0516666666666667;0.05375
0.025;0.0333333333333333;0.0125;0.05;0.065;0.0575;0.045;0.05375
0.075;0.05;0.0125;0.07;0.035;0.0525;0.0516666666666667;0.04125
0.025;0.0166666666666667;0.1;0.07;0.02;0.04;0.04;0.05
0.075;0.0666666666666667;0.05;0.04;0.07;0.0775;0.065;0.04875
0.025;0.0166666666666667;0.0875;0.05;0.075;0.0425;0.0583333333333333;0.0475
0.025;0;0.0375;0.01;0.03;0.045;0.0483333333333333;0.0375
0.025;0.05;0.075;0.01;0.04;0.0525;0.045;0.0375
0.075;0.0166666666666667;0.025;0.02;0.035;0.05;0.0616666666666667;0.045
0.025;0.0833333333333333;0.025;0.05;0.025;0.0425;0.0483333333333333;0.04375
0.1;0.0166666666666667;0;0.04;0.03;0.0425;0.0533333333333333;0.05625
0.025;0.05;0.0625;0.08;0.06;0.035;0.045;0.05
0.05;0.0833333333333333;0.0375;0.03;0.04;0.03;0.0416666666666667;0.0575
0.05;0.0666666666666667;0.05;0.05;0.05;0.035;0.0566666666666667;0.0475
0.05;0.05;0;0.06;0.07;0.0425;0.0466666666666667;0.0525
0.075;0.0833333333333333;0.0625;0.06;0.025;0.08;0.0483333333333333;0.05375
0.05;0.0166666666666667;0.0375;0.04;0.065;0.05;0.0533333333333333;0.05125
0.05;0.0333333333333333;0.0375;0.06;0.025;0.0575;0.04;0.04375
0.075;0.05;0.025;0.08;0.035;0.06;0.0516666666666667;0.05375
0.025;0.0333333333333333;0.0625;0.04;0.03;0.05;0.0383333333333333;0.0325
0.075;0.0166666666666667;0.0625;0.08;0.06;0.06;0.065;0.05625
0.025;0.0166666666666667;0.0375;0.01;0.06;0.0375;0.04;0.0625
0.1;0.0333333333333333;0.0625;0.03;0.07;0.0425;0.0483333333333333;0.05625
0.05;0.133333333333333;0.025;0.04;0.045;0.035;0.0466666666666667;0.0325
