40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.925;0.883333333333333;0.95;0.85;0.87;0.8875;0.895;0.8775
0.875;0.883333333333333;0.8875;0.86;0.845;0.89;0.875;0.87875
0.95;0.883333333333333;0.9375;0.88;0.875;0.895;0.868333333333333;0.88375
0.9;0.866666666666667;0.875;0.92;0.88;0.8825;0.871666666666667;0.8975
0.8;0.85;0.9;0.9;0.915;0.8825;0.886666666666667;0.89125
0.85;0.833333333333333;0.8875;0.87;0.92;0.875;0.888333333333333;0.8675
0.85;0.916666666666667;0.875;0.89;0.905;0.8925;0.861666666666667;0.88625
0.875;0.883333333333333;0.9125;0.87;0.86;0.8775;0.873333333333333;0.8675
0.875;0.9;0.8625;0.89;0.92;0.88;0.885;0.89625
0.825;0.833333333333333;0.8375;0.92;0.875;0.8675;0.89;0.8675
0.925;0.833333333333333;0.875;0.9;0.91;0.8725;0.903333333333333;0.88125
0.925;0.85;0.9;0.85;0.89;0.8775;0.886666666666667;0.88375
0.8;0.883333333333333;0.9;0.87;0.945;0.9;0.876666666666667;0.87875
0.875;0.933333333333333;0.9125;0.88;0.865;0.865;0.886666666666667;0.89875
0.95;0.966666666666667;0.8375;0.9;0.845;0.88;0.89;0.88625
0.875;0.85;0.825;0.84;0.915;0.8925;0.886666666666667;0.865
0.9;0.9;0.9;0.87;0.89;0.88;0.871666666666667;0.8725
0.925;0.916666666666667;0.875;0.89;0.86;0.8875;0.883333333333333;0.91
0.8;0.833333333333333;0.825;0.93;0.895;0.855;0.866666666666667;0.8525
0.85;0.9;0.925;0.88;0.83;0.86;0.888333333333333;0.9
0.95;0.816666666666667;0.9375;0.86;0.87;0.8675;0.883333333333333;0.875
0.8;0.916666666666667;0.9125;0.87;0.875;0.86;0.876666666666667;0.87875
0.9;0.883333333333333;0.925;0.96;0.895;0.8825;0.868333333333333;0.87625
0.925;0.85;0.9;0.85;0.88;0.9;0.866666666666667;0.8775
0.85;0.85;0.825;0.89;0.89;0.88;0.865;0.85625
0.85;0.816666666666667;0.85;0.9;0.925;0.895;0.881666666666667;0.8875
0.825;0.9;0.8625;0.84;0.85;0.87;0.856666666666667;0.8875
0.9;0.85;0.9125;0.87;0.86;0.8625;0.883333333333333;0.87875
0.875;0.866666666666667;0.9;0.93;0.915;0.8675;0.896666666666667;0.86875
0.925;0.883333333333333;0.8625;0.88;0.845;0.88;0.888333333333333;0.87625
0.8;0.9;0.8625;0.89;0.86;0.885;0.871666666666667;0.89125
0.975;0.75;0.875;0.88;0.905;0.8575;0.88;0.8725
0.875;0.883333333333333;0.8625;0.85;0.905;0.865;0.886666666666667;0.88375
0.875;0.833333333333333;0.9375;0.86;0.87;0.895;0.886666666666667;0.88
0.9;0.95;0.8375;0.91;0.865;0.8625;0.866666666666667;0.86875
0.9;0.933333333333333;0.9;0.87;0.93;0.865;0.886666666666667;0.8825
0.975;0.9;0.8875;0.83;0.87;0.9;0.861666666666667;0.88125
0.975;0.883333333333333;0.8875;0.87;0.91;0.9;0.863333333333333;0.89
0.8;0.833333333333333;0.9375;0.87;0.92;0.8825;0.888333333333333;0.8875
0.925;0.866666666666667;0.9125;0.92;0.85;0.86;0.911666666666667;0.87125
0.9;0.883333333333333;0.9;0.91;0.865;0.8525;0.881666666666667;0.89125
0.875;0.9;0.8375;0.9;0.875;0.885;0.885;0.89125
0.95;0.883333333333333;0.7875;0.9;0.875;0.87;0.881666666666667;0.87125
0.85;0.9;0.9;0.9;0.85;0.8675;0.886666666666667;0.86625
0.875;0.816666666666667;0.825;0.86;0.87;0.8875;0.893333333333333;0.89
0.925;0.85;0.875;0.84;0.865;0.9;0.871666666666667;0.89625
0.825;0.8;0.925;0.92;0.835;0.8625;0.88;0.89375
0.85;0.883333333333333;0.9;0.88;0.9;0.8825;0.891666666666667;0.89125
0.85;0.85;0.7875;0.91;0.85;0.875;0.87;0.8825
0.925;0.866666666666667;0.875;0.92;0.875;0.87;0.875;0.87875
0.9;0.916666666666667;0.9125;0.89;0.845;0.91;0.88;0.885
0.825;0.883333333333333;0.8875;0.9;0.89;0.89;0.873333333333333;0.9
0.875;0.966666666666667;0.875;0.88;0.89;0.92;0.88;0.87875
0.85;0.883333333333333;0.8875;0.92;0.855;0.8725;0.883333333333333;0.88875
0.85;0.933333333333333;0.875;0.87;0.93;0.845;0.893333333333333;0.88875
0.9;0.9;0.9125;0.84;0.915;0.8825;0.87;0.89625
0.825;0.933333333333333;0.85;0.92;0.86;0.8725;0.863333333333333;0.87625
0.925;0.85;0.9125;0.91;0.895;0.87;0.88;0.86
0.9;0.866666666666667;0.8625;0.92;0.895;0.9075;0.895;0.88625
0.825;0.85;0.9;0.89;0.905;0.92;0.868333333333333;0.875
0.925;0.85;0.8;0.89;0.86;0.875;0.876666666666667;0.8975
0.875;0.95;0.9;0.9;0.9;0.875;0.876666666666667;0.88625
0.925;0.95;0.8375;0.91;0.885;0.9025;0.91;0.86375
0.85;0.883333333333333;0.9125;0.88;0.885;0.88;0.891666666666667;0.87875
0.925;0.9;0.8625;0.87;0.89;0.885;0.883333333333333;0.865
0.9;0.816666666666667;0.9125;0.89;0.885;0.8975;0.89;0.89125
0.875;0.883333333333333;0.9125;0.94;0.835;0.875;0.878333333333333;0.90375
0.85;0.933333333333333;0.9;0.91;0.86;0.8825;0.878333333333333;0.87875
0.925;0.9;0.9375;0.89;0.88;0.885;0.845;0.88375
0.925;0.933333333333333;0.95;0.88;0.905;0.875;0.865;0.8825
0.85;0.916666666666667;0.8625;0.88;0.895;0.895;0.901666666666667;0.87875
0.85;0.85;0.8625;0.93;0.9;0.8525;0.886666666666667;0.87625
0.875;0.883333333333333;0.8125;0.82;0.865;0.88;0.901666666666667;0.88375
0.9;0.883333333333333;0.9;0.93;0.915;0.87;0.895;0.86625
0.8;0.85;0.8;0.95;0.925;0.89;0.885;0.875
0.9;0.9;0.8875;0.81;0.88;0.88;0.873333333333333;0.8825
0.9;0.883333333333333;0.925;0.89;0.86;0.8825;0.891666666666667;0.8625
0.925;0.883333333333333;0.8;0.88;0.885;0.89;0.875;0.8775
0.975;0.85;0.8875;0.88;0.875;0.8725;0.89;0.87375
0.875;0.866666666666667;0.875;0.93;0.88;0.8825;0.886666666666667;0.8625
0.9;0.883333333333333;0.9125;0.86;0.89;0.8675;0.883333333333333;0.875
0.85;0.9;0.875;0.95;0.89;0.8725;0.876666666666667;0.87875
0.875;0.833333333333333;0.85;0.92;0.92;0.89;0.855;0.87375
0.825;0.866666666666667;0.875;0.87;0.885;0.87;0.873333333333333;0.88125
0.95;0.85;0.9;0.88;0.88;0.8975;0.881666666666667;0.87625
0.85;0.85;0.9;0.92;0.905;0.865;0.888333333333333;0.8875
0.875;0.916666666666667;0.9125;0.82;0.85;0.89;0.88;0.86625
0.875;0.9;0.95;0.91;0.865;0.8575;0.893333333333333;0.88
0.925;0.933333333333333;0.8625;0.9;0.89;0.8875;0.873333333333333;0.8675
0.925;0.8;0.8875;0.88;0.89;0.885;0.886666666666667;0.895
0.925;0.9;0.85;0.85;0.88;0.8725;0.875;0.89625
0.825;0.883333333333333;0.9125;0.89;0.885;0.8875;0.868333333333333;0.86875
0.875;0.916666666666667;0.9375;0.88;0.88;0.8875;0.891666666666667;0.87125
0.95;0.8;0.8375;0.88;0.86;0.87;0.903333333333333;0.8875
