40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
4;4.19722222222222;4.4490625;4.081;4.2215;4.1084375;3.8264;3.945
3.49875;3.82777777777778;4.06625;3.992;4.0196;3.864475;4.00327777777778;3.776765625
4.135;4.30888888888889;3.971875;3.476;4.215;4.057375;3.90337222222222;4.02835625
3.96;3.95111111111111;3.930625;3.9128;3.76995;4.1854375;4.04117777777778;3.91159375
3.78875;4.06666666666667;4.3553125;3.67;3.91035;3.8237625;4.11900555555556;3.968775
3.4625;3.19444444444444;4.2075;4.4418;4.14825;3.7271625;3.9682;4.03155
4.45;3.65111111111111;4.0175;4.4272;4.05;4.006975;3.8245;3.967246875
3.37125;3.35;3.9;4.1272;3.992;4.097475;4.00823333333333;4.07035
4.6325;4.81333333333333;4.084375;4.0616;4.3341;3.82825;3.91773333333333;3.975378125
3.35;3.39555555555556;4.146875;3.612;3.8532;3.7413;4.09346666666667;4.0155125
3.74125;3.94722222222222;4.4625;3.6626;3.93;4.3076;3.9312;4.17478125
4.26875;4.34888888888889;3.6925;3.9656;3.882;4.0499625;3.84006111111111;3.959465625
3.8675;3.13944444444444;3.824375;4.23;3.48755;3.8432;3.85128333333333;4.0349
3.885;3.86666666666667;3.7240625;4.4752;3.9716;3.9416375;3.74840555555556;4.014959375
4.35;3.56666666666667;3.77625;4.557;3.626;4.0166875;4.04615555555556;4.07371875
3.375;3.92166666666667;4.285;4.5924;4.07025;4.1064375;4.2644;4.1073625
4.0175;3.76944444444444;4.0725;3.955;4.14375;4.0236;3.93626666666667;4.228275
4.275;3.96611111111111;3.41125;3.8174;3.90735;3.9120875;3.79613333333333;3.813528125
3.76;4.24;3.395;4.2724;3.9543;4.2217875;4.07735555555556;4.15065625
3.895;3.92;3.465;4.1022;4.104;3.722;4.04925;3.928590625
3.35375;4.30833333333333;4.1803125;4.202;3.6562;3.9616;3.81978333333333;3.849884375
2.565;3.6;3.5490625;3.5028;3.79715;4.0544;4.0984;4.2355
4.07;3.63777777777778;3.4875;4.504;4.0376;3.9045;3.83572777777778;3.858875
3.4525;4.00666666666667;4.290625;3.78;4.03615;3.9066;3.97966666666667;3.771853125
4.61;4.16611111111111;3.928125;3.885;3.7278;3.8851875;4.08453333333333;3.958496875
3.70375;3.83555555555556;3.32;3.556;3.716;3.860375;3.8678;3.971925
3.44;3.43333333333333;3.8553125;3.744;4.026;4.4108;3.8716;4.0380125
3.85125;3.72222222222222;4.2896875;4.4048;3.7911;3.938;4.26066666666667;4.31585
4.8325;5.09555555555556;3.1675;4.228;3.9898;3.94305;3.91067777777778;4.2468625
5.2175;3.96833333333333;4.230625;4.0892;3.86;4.30105;3.86213333333333;3.912275
