40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.7575;0.7925;0.79328125;0.7959;0.797275;0.7989875;0.798988888888889;0.7983296875
0.769375;0.785555555555556;0.8;0.7922;0.800525;0.7993125;0.798977777777778;0.797628125
0.776875;0.779166666666667;0.79796875;0.7871;0.79695;0.7983375;0.799869444444444;0.799871875
0.795;0.783611111111111;0.79828125;0.7997;0.7985;0.7987625;0.798683333333333;0.79984375
0.79875;0.796388888888889;0.79109375;0.7955;0.795375;0.79653125;0.799613888888889;0.79971875
0.788125;0.782222222222222;0.79453125;0.7944;0.7968;0.79816875;0.798544444444444;0.799478125
0.74;0.798055555555556;0.78359375;0.7958;0.79725;0.79694375;0.799133333333333;0.799334375
0.780625;0.788888888888889;0.79828125;0.7891;0.7997;0.7970875;0.798063888888889;0.8000875
0.789375;0.771666666666667;0.7915625;0.7972;0.797525;0.7980625;0.799430555555556;0.79973125
0.775;0.788888888888889;0.79984375;0.796;0.79475;0.79806875;0.799602777777778;0.799753125
0.779375;0.794444444444444;0.796875;0.7915;0.797075;0.7965;0.797219444444444;0.798459375
0.773125;0.793333333333333;0.79359375;0.7924;0.798725;0.7999375;0.798783333333333;0.7994140625
0.7975;0.783888888888889;0.798125;0.799;0.794425;0.79915625;0.798513888888889;0.79955
0.784375;0.794166666666667;0.79140625;0.7924;0.795875;0.797175;0.798155555555556;0.7995890625
0.77625;0.784722222222222;0.795625;0.7855;0.7944;0.798375;0.799511111111111;0.799353125
0.793125;0.798055555555556;0.79453125;0.7937;0.7959;0.798575;0.798213888888889;0.7995171875
0.78;0.801111111111111;0.79578125;0.793;0.798425;0.799725;0.795377777777778;0.7988609375
0.795625;0.794166666666667;0.7934375;0.7915;0.792725;0.79210625;0.799494444444444;0.7988578125
0.7925;0.794444444444444;0.790625;0.7904;0.790975;0.7993375;0.798088888888889;0.7989484375
0.77625;0.795555555555556;0.77765625;0.7982;0.797625;0.79835625;0.800130555555556;0.7994625
0.78625;0.792777777777778;0.79140625;0.798;0.798275;0.79984375;0.799391666666667;0.7995140625
0.743125;0.793611111111111;0.795625;0.7948;0.79705;0.7981;0.799313888888889;0.798125
0.79;0.780277777777778;0.7859375;0.7911;0.798;0.79961875;0.799091666666667;0.7993390625
0.784375;0.796111111111111;0.79140625;0.7984;0.799675;0.7976125;0.798355555555556;0.7987859375
0.785625;0.788888888888889;0.79484375;0.8;0.796525;0.80005;0.799655555555556;0.80004375
0.780625;0.800277777777778;0.78890625;0.7944;0.793925;0.7988;0.798497222222222;0.7997203125
0.7975;0.794444444444444;0.79578125;0.7868;0.7986;0.796375;0.799733333333333;0.7993515625
0.785;0.797777777777778;0.798125;0.7955;0.799125;0.80000625;0.798136111111111;0.79800625
0.76875;0.771666666666667;0.7840625;0.7943;0.7991;0.79801875;0.79885;0.79830625
0.761875;0.789444444444444;0.78921875;0.7943;0.7981;0.79728125;0.799555555555556;0.7993046875
0.781875;0.791944444444444;0.79796875;0.7946;0.800075;0.797825;0.7991;0.7976484375
