40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
0.37625;0.366666666666667;0.38125;0.37;0.3348;0.3078;0.309866666666667;0.3466875
0.41;0.358333333333333;0.3275;0.2484;0.32675;0.3215;0.328888888888889;0.275628125
0.3625;0.375;0.3625;0.2348;0.35955;0.315475;0.308844444444444;0.315521875
0.25625;0.311111111111111;0.355625;0.3078;0.311;0.3434;0.310955555555556;0.315484375
0.2725;0.366666666666667;0.3346875;0.276;0.3295;0.2688;0.324027777777778;0.310125
0.255;0.182222222222222;0.305;0.3202;0.34325;0.2856;0.289833333333333;0.318509375
0.24;0.288888888888889;0.404375;0.365;0.296;0.283875;0.2866;0.325953125
0.28875;0.243333333333333;0.296875;0.365;0.33775;0.2952;0.293066666666667;0.32241875
0.3625;0.320555555555556;0.375;0.32;0.3404;0.2893625;0.314038888888889;0.321525
0.3875;0.34;0.341875;0.3078;0.3731;0.29695;0.321;0.31775
0.22;0.266666666666667;0.3359375;0.2416;0.28225;0.35285;0.3569;0.31171875
0.37625;0.33;0.3634375;0.248;0.329;0.330425;0.292055555555556;0.32076875
0.305;0.194444444444444;0.3125;0.3376;0.29525;0.30625;0.310922222222222;0.323140625
0.28875;0.34;0.305;0.3648;0.2723;0.2872;0.298422222222222;0.3275
0.335;0.255;0.2553125;0.3488;0.2444;0.32675;0.330844444444444;0.33109375
0.2725;0.31;0.296875;0.3608;0.3463;0.3514875;0.357777777777778;0.32961875
0.32;0.278333333333333;0.38125;0.2552;0.3231;0.3289375;0.363066666666667;0.32961875
0.365;0.348888888888889;0.3046875;0.344;0.35425;0.3318125;0.301688888888889;0.308575
0.335;0.348888888888889;0.280625;0.3272;0.3264;0.3347375;0.308866666666667;0.3346875
0.28875;0.31;0.3990625;0.326;0.34325;0.32175;0.322194444444444;0.3079125
0.22;0.391666666666667;0.38125;0.365;0.2822;0.3108875;0.30365;0.31778125
0.21875;0.299444444444444;0.28875;0.2416;0.29525;0.314;0.317055555555556;0.36025
0.4175;0.167777777777778;0.280625;0.3376;0.2855;0.296825;0.306777777777778;0.31320625
0.2725;0.32;0.3753125;0.2952;0.3047;0.327575;0.337555555555556;0.3070875
0.305;0.375555555555556;0.37625;0.32;0.262;0.31875;0.33;0.31780625
0.29;0.311111111111111;0.2190625;0.3202;0.27575;0.3233;0.306766666666667;0.3125
0.255;0.277777777777778;0.305;0.2824;0.34875;0.361025;0.308844444444444;0.331075
0.2725;0.29;0.369375;0.385;0.2954;0.3046875;0.337638888888889;0.35425
0.3425;0.358333333333333;0.22;0.3812;0.3289;0.292;0.336611111111111;0.360984375
0.39;0.358333333333333;0.3125;0.3488;0.2888;0.36875;0.31625;0.318496875
0.2375;0.277777777777778;0.3490625;0.248;0.341;0.2722375;0.325955555555556;0.3596
0.32;0.206666666666667;0.296875;0.3202;0.3202;0.3078;0.343205555555556;0.33261875
0.3375;0.33;0.36875;0.314;0.3542;0.3230375;0.30995;0.290384375
0.32;0.231666666666667;0.3490625;0.3078;0.30155;0.3215;0.326;0.299975
0.29;0.339444444444444;0.3490625;0.356;0.365;0.32;0.333733333333333;0.31165625
0.41;0.208333333333333;0.3125;0.3376;0.3231;0.2822125;0.351522222222222;0.310890625
0.3625;0.375;0.35625;0.314;0.2954;0.30155;0.314088888888889;0.309359375
0.34875;0.375555555555556;0.17;0.3086;0.29525;0.3109375;0.312944444444444;0.324471875
0.3625;0.244444444444444;0.3203125;0.3432;0.262;0.2855;0.330833333333333;0.301553125
0.4125;0.398888888888889;0.3875;0.269;0.35425;0.3346875;0.278922222222222;0.34808125
0.335;0.33;0.4;0.241;0.2657;0.309375;0.326933333333333;0.31925625
0.45625;0.34;0.41;0.3544;0.346;0.2721875;0.339444444444444;0.34668125
0.25625;0.299444444444444;0.3346875;0.3144;0.39875;0.25675;0.318;0.3215
0.18;0.255;0.3059375;0.3376;0.283;0.323;0.321033333333333;0.32376875
0.18125;0.406666666666667;0.3125;0.3144;0.32005;0.309375;0.317994444444444;0.2863125
0.275;0.31;0.305;0.2824;0.3404;0.339125;0.341327777777778;0.313953125
0.2725;0.288888888888889;0.32;0.326;0.2586;0.328125;0.313044444444444;0.331878125
0.2375;0.33;0.305;0.3492;0.2984;0.305;0.317055555555556;0.29601875
0.2375;0.357777777777778;0.3425;0.296;0.3202;0.323;0.294144444444444;0.3296375
0.4475;0.255555555555556;0.404375;0.255;0.3376;0.30785;0.3434;0.30235625
0.2025;0.367777777777778;0.329375;0.3078;0.332;0.315475;0.33;0.3318
0.32125;0.3;0.22875;0.255;0.28875;0.3112;0.3289;0.34808125
0.2725;0.180555555555556;0.2890625;0.3648;0.3544;0.324475;0.284444444444444;0.32815625
0.305;0.42;0.296875;0.3758;0.3405;0.3404;0.306933333333333;0.3281625
0.18;0.398888888888889;0.37625;0.3318;0.2585;0.33755;0.306833333333333;0.32390625
0.3075;0.339444444444444;0.36875;0.3488;0.2985;0.2872;0.331888888888889;0.3369
0.3875;0.320555555555556;0.3425;0.338;0.32615;0.29075;0.330844444444444;0.296
0.25625;0.4;0.3125;0.2552;0.25505;0.2480625;0.286577777777778;0.3535875
0.375;0.358333333333333;0.41;0.326;0.2688;0.306325;0.353311111111111;0.29759375
0.305;0.266666666666667;0.305;0.3434;0.2588;0.3078125;0.348755555555556;0.32825
0.41;0.320555555555556;0.381875;0.308;0.2822;0.305;0.314966666666667;0.32076875
0.255;0.375;0.313125;0.3434;0.41185;0.34325;0.310888888888889;0.327434375
0.32;0.243333333333333;0.3875;0.302;0.29565;0.327675;0.305727777777778;0.30396875
0.2725;0.3;0.4109375;0.3208;0.2855;0.283875;0.327933333333333;0.31626875
0.41;0.320555555555556;0.425;0.2824;0.3376;0.333275;0.3171;0.301578125
0.3375;0.31;0.3046875;0.283;0.31415;0.32;0.3366;0.3404
0.2725;0.278333333333333;0.3125;0.262;0.3515;0.3305;0.350577777777778;0.300021875
0.2375;0.255555555555556;0.313125;0.276;0.2984;0.290625;0.315033333333333;0.322990625
0.25625;0.301666666666667;0.3275;0.248;0.2855;0.30785;0.302666666666667;0.2864375
0.34875;0.206666666666667;0.305;0.3596;0.34875;0.326;0.330866666666667;0.2993125
0.2725;0.384444444444444;0.3621875;0.2756;0.323;0.3319125;0.323;0.2976
0.3075;0.366666666666667;0.3990625;0.269;0.292;0.260225;0.356044444444444;0.320078125
0.4;0.299444444444444;0.313125;0.39;0.2856;0.3531;0.345988888888889;0.327434375
0.2725;0.42;0.32125;0.2336;0.2225;0.3109;0.324116666666667;0.29525
0.2;0.311111111111111;0.34375;0.3264;0.3236;0.3289;0.277783333333333;0.33400625
0.28875;0.243333333333333;0.2725;0.3432;0.2921;0.30785;0.318016666666667;0.3339875
0.305;0.31;0.28875;0.2888;0.3048;0.2985;0.338533333333333;0.3177625
0.2375;0.288888888888889;0.3875;0.4118;0.33185;0.2936;0.30995;0.29601875
0.37625;0.255;0.2890625;0.4076;0.3674;0.30785;0.337555555555556;0.303125
0.42125;0.320555555555556;0.3359375;0.262;0.2688;0.339;0.314038888888889;0.3425375
0.35;0.398888888888889;0.4325;0.302;0.32;0.3078125;0.329122222222222;0.301578125
0.2725;0.366666666666667;0.341875;0.2888;0.3347;0.3096;0.311933333333333;0.335425
0.34875;0.277777777777778;0.341875;0.2954;0.3434;0.327425;0.313955555555556;0.344625
0.18;0.31;0.3346875;0.365;0.2515;0.3215;0.315077777777778;0.318525
0.335;0.243333333333333;0.3875;0.2408;0.3292;0.2855;0.299494444444444;0.298465625
