40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
-0.328148867477222;-0.328175964290257;-0.330607280722731;-0.330518988415874;-0.333275844796287;-0.337521977509656;-0.333012893428503;-0.333167937961067
-0.330671369689283;-0.328830841819287;-0.333559295437248;-0.331773497994794;-0.331699266549885;-0.334516293700812;-0.339636913345811;-0.33414062517229
-0.32643609802454;-0.352351389330875;-0.329189747393914;-0.330378024214397;-0.33170086607082;-0.332500905990087;-0.333081211556697;-0.333082466657447
-0.339787872443124;-0.355936582239005;-0.333528092249391;-0.332043784297599;-0.335320295516594;-0.335853157467232;-0.334399701480124;-0.333213027927987
-0.325801891907174;-0.337086508581838;-0.329384497647437;-0.337012316441034;-0.342322628219018;-0.3325;-0.334998035419495;-0.333493867637553
-0.328424479510239;-0.327819765167281;-0.337026877074227;-0.336459334549052;-0.333760524180842;-0.333156779425665;-0.333840328322114;-0.333842299110415
-0.335567358428493;-0.342669191008535;-0.336553622030235;-0.331833994245221;-0.332029966452815;-0.337775682372806;-0.332818568376073;-0.332991017416217
-0.350629857403879;-0.331079656390366;-0.329737613304502;-0.332849161912385;-0.334097617974086;-0.33394215778833;-0.334488624965928;-0.333017437456047
-0.326497821435337;-0.340066598109789;-0.336451715420632;-0.336171124189631;-0.34220185939675;-0.333783949013855;-0.332926783024097;-0.333082229299216
-0.372915814496626;-0.33802805249324;-0.330576321967944;-0.333701304918578;-0.331725238698366;-0.33606390081992;-0.333849666583395;-0.333018371034657
-0.325813791620135;-0.327938976484734;-0.344263390054163;-0.332174278999675;-0.332810948249705;-0.332836736729628;-0.336901199827759;-0.333530255809705
-0.338947503204659;-0.335450330215052;-0.330020984595582;-0.336063045304848;-0.33190535559198;-0.333549083195551;-0.332779382031043;-0.336108376314684
-0.364513165944586;-0.346116912317132;-0.342411977886049;-0.330388503056099;-0.332982571627721;-0.334676754325355;-0.333010452443757;-0.333306122168269
-0.34510128997093;-0.334388014374235;-0.333528092249391;-0.331753332577985;-0.332810948249705;-0.332902559249662;-0.332778186659692;-0.333227964069781
-0.325;-0.339713132520182;-0.346185945672068;-0.332452216314133;-0.333266686062206;-0.333113397336491;-0.334822586805889;-0.332924843378756
-0.327338285772011;-0.328414489536582;-0.33061760030766;-0.330930892837109;-0.337447766775604;-0.332635180619199;-0.334954237708728;-0.332955491682367
-0.325098799082507;-0.359598402311739;-0.32974171070132;-0.334314809998148;-0.341145716577223;-0.336163406965667;-0.334492316553355;-0.333265421663309
-0.325356313308051;-0.343415210756529;-0.337141420875421;-0.330235068512682;-0.331670477741691;-0.333173848761056;-0.33386315929649;-0.332949438765241
