40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
6601.57987421384;14282.6159344491;26172.5394984326;40002.4792105263;159422.733670213;644324.49255863;1482520.38124253;2570925.79959382
6480.52327044025;16056.7057531381;25362.7461010972;39762.6644736842;159422.733670213;638802.749219043;1440022.47889433;2559422.5120821
6703.40259433962;16342.1339260809;26172.5394984326;40461.4127318296;161803.835797872;648110.083365385;1448125.74050333;2564041.5910472
6302.67303459119;15105.2139470014;25382.7100509404;41316.2187468672;166985.702831665;640400.250156348;1452270.22392143;2567053.42489841
6530.91949685535;14222.744804742;26263.6066026646;40803.5298370927;161643.090663329;640622.481739368;1444703.47380888;2571046.72890278
6582.76108490566;15470.0139470014;26494.8467084639;40002.4792105263;160450.594493116;654875.361300813;1440850.35778797;2561610.52379181
7263.59874213837;14422.4714435146;25422.6454741379;40591.9601002506;161893.795294118;644404.752970607;1448766.3090958;2558702.58129122
6480.52327044025;15277.30041841;26494.8467084639;40803.5298370927;166985.702831665;642222.931020169;1439102.56965437;2559422.5120821
8176.80628930818;15105.2139470014;25840.8326018809;40742.6758897243;160240.301176471;650027.811394622;1447365.60775879;2558702.58129122
6302.67303459119;14470.2934449093;27384.5018808777;40461.4127318296;161011.592540676;639702.513384146;1463732.51896658;2567563.79173492
6703.40259433962;14953.6407252441;25770.55830721;40803.5298370927;160360.463379224;643293.102201376;1440610.25427817;2593035.28905928
7867.56485849057;15683.4817294282;27384.5018808777;39762.6644736842;160302.480353567;644805.004378518;1442040.96560233;2561802.51394205
7089.42893081761;14642.6862273361;26172.5394984326;40002.4792105263;161011.592540676;639902.48849359;1438202.7494793;2561022.4743203
6440.25157232704;15277.30041841;27658.4376175549;40122.4731954887;160502.530916771;642091.664302689;1450808.42534424;2560890.27846515
6342.56485849057;14500.4273361227;25840.8326018809;40260.7029573935;164213.266583229;640760.491507192;1454306.3729943;2558022.6764147
6282.74221698113;17067.5235704324;25422.6454741379;40422.7107894737;166991.588285357;648731.341589275;1451501.38069195;2561402.48887172
6450.31572327044;15326.7643305439;26263.6066026646;40140.354085213;159402.748438673;640622.481739368;1447365.60775879;2561160.36666458
6440.25157232704;17772.3715481172;25382.7100509404;39722.7178070175;167525.979524405;640490.307454659;1442040.96560233;2561050.33018131
6302.67303459119;14242.6973849372;25422.6454741379;39762.6644736842;159522.665835419;639102.64809334;1441262.50542761;2559422.5120821
9453.48553459119;15470.0139470014;25482.5674177116;40002.4792105263;162164.626583229;638822.741776892;1455829.44805336;2561440.46294467
6601.57987421384;14422.4714435146;25680.2507836991;40260.7029573935;160210.262878598;656442.276422764;1442002.60269591;2561802.51394205
6342.56485849057;14282.6159344491;25362.7461010972;40140.354085213;162455.600750939;640362.469219043;1443723.06394366;2562010.67408878
6480.52327044025;15917.8443514644;25482.5674177116;40803.5298370927;161803.835797872;639222.613946998;1444602.80672502;2563602.75054724
6450.31572327044;16173.2557880056;27953.1739811912;40351.0025062657;160560.765757196;639102.64809334;1440850.35778797;2570205.35114118
6703.40259433962;15549.1883193863;26898.6335423197;40461.4127318296;161011.592540676;641841.410081301;1438622.65435633;2562240.76503907
7867.56485849057;14943.8494072524;25562.4984521944;40351.0025062657;162164.626583229;641611.190006254;1440640.26686675;2576022.23645202
6482.50322327044;14550.6728033473;25840.8326018809;40260.7029573935;161011.592540676;652676.680737961;1440850.35778797;2584835.77618318
6402.47806603774;14783.1040794979;25382.7100509404;44806.524122807;162766.735219024;638802.749219043;1450219.38875087;2567053.42489841
6440.25157232704;17772.3715481172;26172.5394984326;41800.2127318296;160360.463379224;640362.469219043;1446324.38543872;2565212.23657706
6530.91949685535;14282.6159344491;25840.8326018809;40742.6758897243;160290.367008761;641862.774097092;1442402.68061727;2570416.1410472
6936.3534591195;16449.8834030683;25562.4984521944;41024.2686842105;162766.735219024;641040.701638524;1444602.80672502;2571666.29427653
7263.59874213837;14550.6728033473;25662.4686716301;40122.4731954887;160841.256370463;643864.056148374;1442291.11330276;2563361.25519225
6480.52327044025;14522.5021269177;26686.5203761755;40002.4792105263;160450.594493116;640622.481739368;1438222.744505;2568094.19018756
6480.52327044025;15683.4817294282;26494.8467084639;41104.7619047619;159702.56896433;643423.688243433;1439102.56965437;2567523.9667398
6480.52327044025;15125.0293235704;26041.7855799373;39902.5283333333;161202.002503129;641862.774097092;1440022.47889433;2561160.36666458
6342.56485849057;15125.0293235704;25720.3811912226;40140.354085213;161893.795294118;641841.410081301;1444703.47380888;2562662.60171636
6692.61006289308;14342.5272315202;25770.55830721;40002.4792105263;161202.002503129;639902.48849359;1452863.69667917;2558502.60626778
6480.52327044025;14222.744804742;25720.3811912226;40422.7107894737;160290.367008761;639222.613946998;1441622.54514416;2576813.25414192
6302.67303459119;14222.744804742;26494.8467084639;41808.4521428571;160200.250312891;642091.664302689;1464755.2131725;2557902.69620213
6703.40259433962;15105.2139470014;25662.4686716301;40002.4792105263;159462.705334793;638862.727192777;1440760.31822148;2564041.5910472
7459.11949685535;14342.5272315202;25662.4686716301;40260.7029573935;161202.002503129;640410.256422764;1441410.62421009;2563051.11167552
8460.90062893082;14550.6728033473;26172.5394984326;40260.7029573935;160290.367008761;640890.586629143;1476092.79819404;2558162.65446722
6342.56485849057;14460.2510460251;25720.3811912226;41104.7619047619;160210.262878598;651984.194321451;1440960.40736974;2560322.47114743
6804.14591194969;14242.6973849372;25840.8326018809;40262.539160401;160560.765757196;652139.951095216;1443842.18411005;2561802.51394205
7006.59127358491;14621.0633193863;25840.8326018809;40603.0265789474;162455.600750939;642962.670869293;1440022.47889433;2559702.49392017
7006.59127358491;15105.2139470014;26263.6066026646;41548.0172431078;160290.367008761;646927.954347248;1439522.51654891;2563361.25519225
6582.76108490566;14242.6973849372;25362.7461010972;43745.4277694236;159602.618776596;644805.004378518;1445443.56957621;2559162.53333561
8176.80628930818;14222.744804742;26686.5203761755;40591.9601002506;166985.702831665;651417.886554878;1450850.34639989;2565723.28899676
6402.47806603774;14222.744804742;25931.2304075235;41265.2960526316;164213.266583229;639102.64809334;1446324.38543872;2561160.36666458
6282.74221698113;14953.6407252441;25770.55830721;40262.539160401;161803.835797872;649416.010006254;1442291.11330276;2558922.55670542
8768.08176100629;14621.0633193863;25922.6846590909;41808.4521428571;159422.733670213;641210.838786742;1438222.744505;2562010.67408878
6692.61006289308;14783.1040794979;26898.6335423197;39902.5283333333;163449.560750939;640490.307454659;1442002.60269591;2562662.60171636
7459.11949685535;14822.480334728;26686.5203761755;39722.7178070175;161011.592540676;646168.002201376;1447365.60775879;2562222.55103177
6804.14591194969;14342.5272315202;28100.8652233542;42679.806716792;164213.266583229;639362.578662445;1441810.83585383;2561022.4743203
6530.91949685535;15549.1883193863;26464.4874804075;39702.7468796992;159602.618776596;640490.307454659;1440960.40736974;2593035.28905928
6482.50322327044;14621.0633193863;25840.8326018809;42366.0401002506;160360.463379224;641202.570607411;1438502.67953349;2557602.74960945
6601.57987421384;14943.8494072524;34338.3326018809;42072.8653634085;160200.250312891;642091.664302689;1442002.60269591;2562760.98285714
6582.76108490566;14222.744804742;25690.2824451411;43141.0897368421;160502.530916771;647701.456422764;1438402.70173718;2558162.65446722
7006.59127358491;14460.2510460251;25482.5674177116;40461.4127318296;160690.983779725;639902.48849359;1438762.62700604;2561402.48887172
7006.59127358491;15549.1883193863;25782.5156935737;40140.354085213;159602.618776596;641202.570607411;1443491.91897179;2557802.71337938
6440.25157232704;14500.4273361227;26083.0282327586;40190.4924310777;159422.733670213;643293.102201376;1442851.46936223;2561440.46294467
6601.57987421384;14943.8494072524;25690.2824451411;40110.2758897243;171364.735672716;640410.256422764;1438222.744505;2562490.86764927
6703.40259433962;14711.6457461646;27658.4376175549;40461.4127318296;162826.044308511;647701.456422764;1451529.28270147;2567053.42489841
7459.11949685535;15105.2139470014;25482.5674177116;43141.0897368421;162124.41652378;640902.514134615;1445894.01050993;2558702.58129122
6480.52327044025;14282.6159344491;26927.4652233542;41104.7619047619;160690.983779725;650716.003690588;1458264.89757399;2587871.55866208
6282.74221698113;15792.4485704324;25422.6454741379;41800.2127318296;163821.292665832;640650.414321451;1445013.16927053;2584835.77618318
6342.56485849057;14953.6407252441;25922.6846590909;43526.0230701754;163098.048610763;640760.491507192;1443723.06394366;2573207.43351067
6342.56485849057;14550.6728033473;26494.8467084639;39722.7178070175;160560.765757196;640650.414321451;1444212.47920522;2557902.69620213
6692.61006289308;14642.6862273361;25482.5674177116;44806.524122807;160210.262878598;645246.207079425;1448446.93431152;2578455.49139106
6402.47806603774;14500.4273361227;25422.6454741379;41024.2686842105;160210.262878598;640362.469219043;1440850.35778797;2558922.55670542
