40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
-0.336504321717161;-0.333733528734604;-0.334778981578854;-0.333853682360696;-0.334944659346755;-0.338359277833579;-0.333568575114736;-0.333584688604757
-0.339048536546204;-0.334391102112825;-0.33774313425714;-0.335111326792544;-0.333365987442265;-0.335351216070567;-0.340196770433196;-0.33455782919577
-0.334784681342673;-0.35802911167641;-0.333356498430683;-0.333712427571238;-0.333367582684477;-0.333334239896001;-0.333636904461901;-0.333499198287422
-0.348216883433322;-0.361618915555797;-0.337713926768782;-0.335385733847488;-0.336992156085524;-0.336689345750292;-0.334956049623166;-0.333629789694871
-0.334143214118403;-0.342691591907228;-0.333551881138251;-0.34036401155651;-0.344004942297571;-0.333333333333333;-0.33555465722563;-0.333910734701784
-0.336780122846126;-0.333375508387934;-0.341223361045735;-0.339820167790363;-0.335430287908792;-0.333990682915765;-0.334396505656359;-0.334259269524512
-0.343979453419663;-0.34829029520446;-0.340743873606074;-0.335173459214487;-0.333697132893338;-0.338613299565693;-0.333374147235335;-0.333407709916854
-0.359156159706032;-0.336649987081401;-0.333906301072968;-0.336190175004137;-0.33576781578393;-0.334776565752975;-0.335045082560152;-0.333434141295924
-0.334841265938753;-0.345674898101242;-0.340643360616615;-0.339520589209657;-0.343886256533248;-0.334618449313127;-0.33348240142696;-0.333498959469797
-0.381562477661991;-0.343632848140462;-0.33474861662442;-0.33704587987752;-0.333391982004352;-0.3368999656514;-0.334405710512206;-0.333435077561095
-0.334153990503701;-0.333495292196656;-0.34847999064186;-0.335513220484887;-0.334479327131816;-0.333670295363903;-0.33745931494092;-0.333947145755113
-0.347385469989535;-0.341048611730659;-0.334191351829777;-0.339416109409602;-0.333572334315621;-0.334383105107687;-0.333334938455932;-0.336526293109782
-0.373126453520326;-0.351755018760324;-0.346627981463845;-0.333723016742072;-0.334650994951459;-0.335512396241311;-0.333566153342655;-0.33372297275872
-0.353571293387335;-0.339976081003028;-0.337708692794221;-0.335092730245748;-0.33447961840816;-0.333736171884245;-0.333333742398889;-0.333644737472066
-0.333333333333333;-0.345335870561904;-0.350415963943354;-0.335791954080292;-0.334935887001855;-0.333947156733786;-0.335379047908352;-0.333341513192247
-0.33568784292986;-0.333972846017828;-0.33479106072701;-0.334266630112484;-0.339122322060219;-0.333468610362785;-0.335510768043576;-0.333372173807316
-0.333432770479047;-0.365294714880229;-0.333910342781324;-0.337660035985077;-0.342824428309224;-0.336999293536189;-0.335048625766385;-0.333682205344272
-0.333692321072845;-0.349041157459923;-0.341335374539135;-0.333569150858574;-0.333337149413712;-0.334007620522786;-0.33441928043794;-0.333366123331751
-0.333333333333333;-0.371276689516758;-0.333550547348938;-0.333465482487556;-0.343524508681284;-0.333366236050166;-0.333570999353852;-0.33335615035967
-0.334188715987347;-0.333712377171847;-0.333938977403794;-0.333714668700455;-0.333509932441435;-0.3334475326537;-0.333822539231587;-0.333499911969911
-0.392436269351085;-0.347729502048353;-0.334485725030349;-0.33507089487761;-0.336262407371642;-0.333341692087654;-0.335792920437942;-0.333391982351503
-0.338723347174206;-0.336651383074836;-0.333333333333333;-0.334298644341485;-0.33334808268928;-0.339065332592963;-0.333938473646459;-0.333713903254722
-0.335555629007735;-0.334275224782866;-0.333357970625426;-0.333571779334955;-0.336548630825007;-0.333921548930283;-0.334234475331635;-0.333442301699127
