40 Tokens;60 Tokens;80 Tokens;100 Tokens;200 Tokens;400 Tokens;600 Tokens;800 Tokens
6560.28;14223.1018518519;26090.6839583333;39902.4715;159223.45365;643921.631554167;1481901.06954074;2570122.0872599
6439.99;15989.575;25283.4872916667;39663.2541666667;159223.4544;638403.497497917;1439422.4578;2558622.66734531
6661.493125;16273.9346296296;26090.643125;40360.1536;161601.505925;647704.647308333;1447522.22845;2563240.323325
6263.2675;15042.157037037;25303.3884375;41212.904;166776.683958333;640000;1451664.95833333;2566251.18229167
6490.0975;14163.4832407407;26181.4317708333;40701.1774;161440.9792;640222.01618125;1444101.32045833;2570243.24906667
6541.55895833333;15405.5185185185;26412.041875;39902.4271333333;160250.025833333;654465.582866667;1440249.99666667;2560810.015525
7218.0325;14362.3675;25343.1953125;40490.4638666667;161691.3689;644001.916666667;1448162.45157407;2557902.97585313
6440.01666666667;15213.63;26412.008125;40701.5008;166776.406666667;641821.366641667;1438502.94278981;2558622.67000313
8125.63083333333;15042.2044444444;25760.0566666667;40640.7594666667;160040.0004;649621.299758333;1446762.49368889;2557902.97125938
6263.273125;14409.9996296296;27298.8725;40360.2544;160810.2943;639302.6922625;1463121.71067407;2566761.36749167
6661.42270833333;14891.2159259259;25690.005625;40701.3832;160160.0112;642891.028358333;1440009.99978889;2592224.47598125
7818.21354166667;15618.0666666667;27298.766875;39663.2516666667;160102.089091667;644401.544185417;1441440.06293333;2561001.83125729
7045.06666666667;14581.6222222222;26090.7452083333;39902.4231;160810.2592;639502.53623125;1437603.49831944;2560222.13670417
6400;15213.45;27571.8008333333;40022.1592666667;160301.8389;641690.336591667;1450203.86407222;2560089.99911875
6302.91666666667;14440.0074074074;25760.0366666667;40160.0490666667;164007.92;640360.0105;1453700.33848519;2557223.28795781
6243.475;16996.3140740741;25343.1966145833;40321.6215;166782.826266667;648325.75736875;1450896.5461;2560602.03524531
6409.99916666667;15262.8466666667;26181.4881770833;40039.9984;159203.494975;640222.084525;1446762.41607407;2560359.98935
6400;17697.96;25303.385625;39623.4091;167316.0496;640089.999475;1441440.104;2560249.99953125
6263.27875;14183.3491666667;25343.19921875;39663.25;159323.253366667;638703.207583333;1440661.91997685;2558622.6646875
9393.79916666667;15405.3333333333;25402.9053645833;39902.4715;161961.9012;638423.47736875;1455222.80456667;2560640.00573333
6560.28;14362.3525;25600;40160.0448;160009.999966667;656031.72;1441401.75789167;2561001.91618281
6302.91666666667;14223.087962963;25283.4875;40039.9994666667;162252.4825;639962.227864583;1443121.49758241;2561210.01184792
6440.00666666667;15851.4666666667;25402.9155729167;40701.4567;161601.449866667;638823.0922875;1444000.88148148;2562801.50166771
6410.00083333333;16105.7733333333;27865.609375;40250.11;160360.0468;638703.201533333;1440249.99935185;2569401.78290938
6661.45791666667;15484.0877777778;26814.5375;40360.2256;160810.2403;641440.2268;1438023.21786389;2561440.0357
7818.08333333333;14881.4930555556;25482.605625;40250.09;161961.7444;641210.170408333;1440039.99979259;2575217.16454375
6441.964375;14490.0266666667;25760.0766666667;40160.0362666667;160810.2619;652268.650625;1440250.00037037;2584027.75239375
6362.45875;14721.4583333333;25303.3884375;44694.4825;162563.217066667;638403.4974125;1449614.82991481;2566250.88151042
6400;17698.2;26090.735;41695.5657333333;160160.010666667;639962.208333333;1445721.63784167;2564410.59810625
6490.0825;14223.0902777778;25760.0466666667;40640.7765333333;160089.9997;641461.5553125;1441801.59797963;2569612.86898542
6892.89916666667;16381.3422222222;25482.60984375;40921.6485;162563.0976;640640.0272;1444000.88444444;2570862.57128906
7218.0325;14490.04;25582.2458854167;40022.0973;160640.177066667;643461.60578125;1441690.15710741;2562560.1824
6440.01666666667;14461.9650925926;26603.0208333333;39902.4352;160250.0225;640222.03440625;1437623.48475;2567291.60835625
6440.01666666667;15618.1114814815;26411.906875;41001.9333333333;159502.930291667;643021.539289583;1438502.90435;2566721.51343281
