100 Length/1 Rnds.;300 Length/1 Rnds.;500 Length/1 Rounds;700 Length/1 Rounds;100 Length/2 Rounds;300 Length/2 Rounds;500 Length/2 Rounds;700 Length/2 Rounds;100 Length/3 Rounds;300 Length/3 Rounds;500 Length/3 Rounds;700 Length/3 Rounds;100 Length/4 Rounds;300 Length/4 Rounds;500 Length/4 Rounds;700 Length/4 Rounds;100 Length/5 Rounds;300 Length/5 Rounds;500 Length/5 Rounds;700 Length/5 Rounds
0.018658196;0.004628314;0.001887537;0.001030056;0.020346109;0.00485812;0.00203182;0.001039891;0.02498853;0.005239228;0.002184184;0.00127713;0.026600061;0.00634995;0.002264439;0.001181087;0.021764287;0.006176105;0.002668571;0.001458558
0.017533147;0.004554045;0.001887537;0.000955249;0.018081871;0.005010922;0.002140871;0.00111035;0.0224916;0.005393409;0.002417351;0.001286592;0.026701373;0.006305238;0.002571671;0.001238275;0.031173253;0.005855767;0.002693059;0.001378996
0.019009659;0.004403068;0.001987389;0.001030056;0.020995217;0.005091822;0.002140871;0.001073609;0.022111485;0.005566177;0.002178723;0.001283384;0.028698714;0.005424377;0.002530879;0.001310702;0.027314385;0.006256003;0.002822482;0.001533606
0.017909599;0.004774413;0.001786104;0.00101145;0.020371747;0.004999192;0.002102812;0.001171456;0.021499847;0.005582973;0.002140871;0.001231916;0.022413267;0.005669543;0.002514926;0.00124447;0.029785908;0.006597814;0.002738131;0.001385122
0.017533147;0.004554045;0.001887537;0.001030056;0.019612588;0.00517176;0.001987389;0.001070343;0.020875051;0.005324676;0.002411986;0.001168218;0.02346736;0.005629134;0.00227976;0.001423187;0.024283316;0.006118486;0.002381016;0.001508195
0.018357724;0.004403068;0.001853902;0.001048598;0.02026873;0.004640412;0.002108529;0.001131873;0.021041497;0.005416135;0.00218396;0.001195908;0.029031073;0.006203669;0.002422941;0.001271794;0.025138924;0.006130229;0.002597957;0.001559674
0.017760163;0.00470177;0.001853902;0.00099278;0.019123271;0.005183344;0.001954281;0.001138372;0.024650357;0.005404772;0.002290586;0.001235054;0.026543172;0.005742461;0.00246373;0.001307499;0.026935962;0.006062414;0.002803376;0.001577774
0.018357724;0.00470177;0.001954281;0.001030056;0.021199797;0.005080165;0.002070278;0.00111035;0.021012117;0.005554961;0.002253581;0.001283465;0.026937526;0.005895293;0.002364647;0.001283302;0.020670732;0.006527733;0.002607161;0.001560522
0.017760163;0.004554045;0.001820091;0.00101145;0.020133313;0.004640412;0.001920997;0.001070343;0.022633938;0.005437821;0.002075786;0.00119599;0.028432763;0.005818923;0.002364423;0.001259344;0.02751708;0.006344485;0.00288556;0.001423023
0.017724453;0.00470177;0.001887537;0.001048598;0.021334963;0.005239228;0.002140871;0.001107095;0.023720314;0.005469578;0.002322211;0.001252997;0.026463265;0.005402898;0.002571895;0.001490236;0.02997137;0.005794506;0.002505401;0.001358333
0.017760163;0.004554045;0.001920997;0.00099278;0.020303154;0.004952671;0.002037568;0.001146834;0.023811853;0.005630175;0.002285173;0.00119599;0.021549969;0.006014782;0.00233323;0.001310621;0.023572628;0.005914016;0.00261706;0.001402681
0.018038119;0.004628314;0.001820091;0.00099278;0.0193006;0.005091822;0.001987389;0.001171456;0.022154426;0.005284757;0.002221813;0.001244633;0.021339172;0.005556001;0.002607161;0.001247609;0.033273313;0.006725782;0.00244278;0.001443453
0.018357724;0.00432636;0.001853902;0.001048598;0.019219497;0.005034384;0.002097095;0.001171456;0.020565673;0.005702346;0.002178723;0.001217129;0.022565408;0.00603321;0.002453704;0.001385122;0.028331208;0.006345571;0.002698089;0.001452631
0.017533147;0.004774413;0.001820091;0.001030056;0.020209637;0.004999192;0.002037568;0.001150078;0.02292002;0.005491116;0.002253581;0.001208754;0.028741127;0.005349548;0.002637174;0.001259344;0.027770232;0.006019435;0.002732893;0.001466888
0.017533147;0.004628314;0.001954281;0.00099278;0.021358729;0.004940867;0.002070278;0.001030056;0.019949104;0.005261208;0.002301861;0.001131873;0.021960146;0.005954404;0.00229081;0.001420013;0.026432832;0.006234432;0.002697864;0.001496304
0.018658196;0.004554045;0.001820091;0.001030056;0.019111653;0.005239228;0.00213517;0.001153321;0.022621967;0.005182304;0.002178723;0.001217129;0.030464712;0.005783511;0.002210699;0.00126561;0.028105623;0.005855767;0.002658255;0.001493311
0.017760163;0.004774413;0.001820091;0.00099278;0.020476142;0.005317319;0.001998918;0.00111035;0.019793867;0.005470618;0.002296448;0.001226726;0.025385949;0.006292044;0.00265276;0.001334316;0.032260242;0.005774597;0.002738131;0.001568683
0.017760163;0.00470177;0.001954281;0.001030056;0.020214627;0.004869997;0.00213517;0.001113605;0.020397209;0.005102438;0.002338627;0.001262477;0.021186346;0.006203669;0.00240103;0.001460809;0.023848657;0.006082965;0.002642444;0.001372707
0.017760163;0.00470177;0.001887537;0.00101145;0.019617808;0.004999192;0.00203182;0.001092012;0.021490987;0.005470618;0.002070278;0.001259263;0.027829461;0.005415094;0.002458829;0.001423187;0.025265248;0.006023475;0.002772713;0.001452794
0.018747012;0.00470177;0.001887537;0.001067076;0.021521307;0.005010922;0.002037568;0.00111686;0.022575356;0.005328756;0.002184408;0.001238275;0.021402402;0.006088361;0.002458604;0.001426115;0.025792956;0.006282233;0.002752725;0.001247609
0.017162602;0.004554045;0.001920997;0.00101145;0.020174948;0.00485812;0.002102812;0.001048598;0.023450805;0.005576353;0.002370029;0.001238275;0.024046007;0.005795547;0.002525337;0.001352033;0.025977352;0.006295825;0.002777262;0.001623288
0.018038119;0.004628314;0.001954281;0.00101145;0.020353019;0.004999192;0.00203182;0.001113605;0.023305987;0.005261208;0.00225901;0.00111035;0.022340555;0.005896334;0.002530655;0.001226726;0.025567945;0.006408606;0.003020864;0.001545696
0.018658196;0.004774413;0.001853902;0.000974046;0.02079483;0.005010922;0.002097095;0.001150078;0.022093958;0.005261208;0.00227976;0.001220274;0.027635528;0.005556001;0.002514926;0.001313823;0.024870593;0.006926285;0.002787707;0.001490236
0.018081871;0.004774413;0.001954281;0.00101145;0.017418043;0.004786364;0.002167353;0.001070343;0.024362043;0.005349548;0.002076011;0.00120229;0.022807393;0.005805502;0.002494958;0.001372707;0.020851323;0.006378345;0.002322211;0.001485127
0.018357724;0.004628314;0.001920997;0.00099278;0.0213678;0.004786364;0.001998918;0.00111035;0.020822183;0.005193887;0.002216143;0.001150078;0.027171197;0.005714811;0.002285173;0.001304296;0.023752483;0.00587657;0.002856376;0.001268661
0.018081871;0.004554045;0.001887537;0.000974046;0.019219497;0.004940867;0.00213517;0.001113605;0.02112577;0.005272718;0.002173038;0.001235054;0.024468887;0.005814538;0.00265276;0.001369685;0.02228839;0.005891131;0.00264749;0.001402518
0.018357724;0.004917259;0.001853902;0.00101145;0.0209769;0.005022653;0.002108529;0.001150078;0.022195532;0.005328756;0.002285173;0.001238275;0.022265016;0.005650379;0.002478957;0.001355224;0.023536598;0.006661462;0.002698089;0.001490236
0.018108204;0.004628314;0.001887537;0.001030056;0.019478102;0.005022653;0.001960061;0.001135122;0.020832825;0.005327715;0.002242498;0.001217211;0.02873439;0.005817176;0.002566369;0.001393387;0.022434703;0.006423995;0.002566369;0.001337595
0.018747012;0.004478963;0.001887537;0.00099278;0.019478102;0.004940867;0.002097095;0.001113605;0.021778501;0.005393409;0.00240103;0.001256212;0.02423696;0.005554961;0.002380567;0.001440449;0.027980607;0.006293112;0.002617733;0.001358333
