1 Cat.;3 Cat.;5 Cat.;7 Cat.;9 Cat.
0.00225;0.00755;0.01145;0.0202;0.02345
0.0011;0.0068;0.01545;0.01525;0.02755
0.00265;0.00645;0.0144;0.02325;0.02815
0.00585;0.0046;0.01375;0.01375;0.024
0.00375;0.00865;0.01525;0.0171;0.02765
0.0038;0.01365;0.01005;0.0223;0.026
0.00445;0.0088;0.01405;0.0249;0.02155
0.00255;0.00715;0.01585;0.01595;0.02295
0.00615;0.0075;0.01555;0.01815;0.0188
0.00325;0.0088;0.0135;0.01885;0.02645
0.0048;0.00295;0.01115;0.01405;0.0257
0.0011;0.0072;0.0106;0.01775;0.0296
0.0021;0.0069;0.01395;0.0266;0.03325
0.003;0.0106;0.01375;0.01795;0.0228
0.0043;0.01095;0.007;0.0229;0.02325
0.003;0.00765;0.0259;0.01835;0.0352
0.00345;0.00875;0.01225;0.02775;0.01785
0.00325;0.0092;0.0142;0.02435;0.0217
0.0031;0.0107;0.01685;0.01565;0.0257
0.00135;0.0061;0.0142;0.0222;0.02265
0.0038;0.00685;0.01025;0.0181;0.026
0.0027;0.0058;0.0196;0.0187;0.0224
0.00255;0.00915;0.01215;0.01795;0.0232
0.00225;0.005;0.01445;0.0193;0.0264
0.0022;0.0106;0.0105;0.01755;0.0182
0.0017;0.0094;0.01335;0.01355;0.02395
0.00535;0.00805;0.01785;0.01975;0.0222
0.00195;0.0071;0.01375;0.0164;0.01665
0.001;0.00775;0.0127;0.0205;0.0171
0.0025;0.00865;0.0171;0.01835;0.0272
0.0013;0.00715;0.0131;0.01805;0.02175
0.0019;0.0091;0.00915;0.01595;0.0298
0.0033;0.00755;0.0145;0.018;0.0228
0.00235;0.0076;0.01425;0.02465;0.0205
0.00265;0.00705;0.01095;0.02165;0.02625
0.0021;0.0121;0.0139;0.01605;0.02335
0.0032;0.0087;0.0142;0.0175;0.0232
0.00095;0.00755;0.01385;0.015;0.028
0.0011;0.01385;0.0078;0.01975;0.02585
0.00415;0.0066;0.017;0.0219;0.02845
0.00395;0.007;0.01085;0.0205;0.0283
0.00235;0.01145;0.01625;0.01715;0.02155
0.00355;0.0067;0.01965;0.0223;0.01945
0.00345;0.0065;0.01215;0.0179;0.01475
0.0043;0.0045;0.01635;0.0165;0.0232
0.0038;0.0112;0.0127;0.01655;0.02095
0.00355;0.00985;0.0123;0.01695;0.0246
0.0016;0.0073;0.01335;0.01705;0.02345
0.0021;0.00475;0.01785;0.0224;0.0243
0.0055;0.00825;0.015;0.0179;0.0202
0.00235;0.00685;0.0127;0.01195;0.02465
0.0036;0.01175;0.0131;0.01955;0.0253
0.00185;0.01065;0.01355;0.01675;0.03005
0.00245;0.01035;0.0187;0.025;0.02075
0.00125;0.0111;0.01595;0.01795;0.02505
0.00075;0.01035;0.0167;0.01505;0.02665
0.00645;0.00965;0.01505;0.01535;0.02315
0.00425;0.00955;0.0192;0.01985;0.02025
0.00205;0.00675;0.0133;0.0243;0.0292
0.0034;0.0071;0.01465;0.01535;0.0254
0.00285;0.0082;0.0102;0.02055;0.0246
0.0017;0.00515;0.01305;0.01655;0.02565
0.0043;0.0078;0.01265;0.02195;0.02385
0.00195;0.00785;0.0132;0.018;0.0225
0.00425;0.00935;0.01705;0.0223;0.0231
0.0033;0.0072;0.01375;0.01915;0.02935
0.0021;0.00725;0.01185;0.02045;0.02375
0.0022;0.01115;0.00775;0.01895;0.02465
0.0034;0.0111;0.01165;0.0214;0.02595
0.00165;0.0061;0.01185;0.0276;0.02615
0.0022;0.00935;0.0181;0.01875;0.02125
0.0011;0.01455;0.01265;0.02325;0.0217
0.00185;0.0079;0.01135;0.01775;0.02355
0.00475;0.00665;0.0126;0.0163;0.0312
0.00175;0.00515;0.0108;0.01475;0.02745
