2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.
0.00445;0.00905;0.01095;0.01145;0.02315
0.00595;0.0073;0.01245;0.0163;0.0226
0.00475;0.0069;0.01315;0.0144;0.02015
0.0042;0.0092;0.01465;0.01855;0.0204
0.0038;0.00975;0.01045;0.0143;0.02455
0.004;0.00785;0.0161;0.01475;0.0267
0.00305;0.01115;0.01435;0.01725;0.0203
0.00395;0.0067;0.0121;0.01625;0.0243
0.0026;0.01135;0.019;0.0159;0.01955
0.00815;0.00965;0.0125;0.0168;0.02115
0.004;0.0066;0.01235;0.0208;0.02335
0.0036;0.00725;0.0091;0.01695;0.0228
0.00355;0.00835;0.01565;0.0185;0.02315
0.00285;0.00965;0.01055;0.01545;0.02245
0.004;0.0119;0.01145;0.02165;0.0249
0.00295;0.0095;0.01625;0.01085;0.01845
0.00505;0.00875;0.0116;0.01605;0.01835
0.00445;0.01035;0.0141;0.01935;0.0219
0.0055;0.00905;0.0131;0.0133;0.02465
0.0032;0.00915;0.00865;0.01335;0.02025
0.00345;0.00905;0.0126;0.01755;0.01975
0.0041;0.009;0.01415;0.016;0.0195
0.00555;0.00815;0.01185;0.014;0.02445
0.005;0.01175;0.0124;0.01885;0.0224
0.0068;0.00745;0.01645;0.01965;0.0197
0.0034;0.00885;0.01445;0.01695;0.0198
0.0043;0.0088;0.0112;0.0128;0.0234
0.00425;0.01045;0.0143;0.0152;0.0237
0.00455;0.0077;0.0128;0.0172;0.01785
0.00405;0.0091;0.01525;0.01905;0.02445
0.0046;0.00795;0.01435;0.0242;0.02125
0.00495;0.00945;0.01145;0.0193;0.02035
0.0053;0.00615;0.0121;0.01685;0.0234
0.00405;0.009;0.01345;0.0185;0.02135
0.00335;0.0114;0.01625;0.0178;0.0227
0.00485;0.0102;0.01655;0.0199;0.01825
0.00315;0.01165;0.01025;0.01865;0.01945
0.00495;0.0076;0.0127;0.0162;0.0196
0.0023;0.00855;0.0128;0.01575;0.02305
0.0048;0.00805;0.0163;0.0158;0.0224
0.00465;0.00655;0.01215;0.01875;0.02185
0.003;0.0083;0.0111;0.01505;0.0221
0.0019;0.01;0.0105;0.02165;0.0219
0.0029;0.00745;0.0126;0.0191;0.01985
0.00675;0.0111;0.0153;0.02115;0.02495
0.00485;0.01035;0.01315;0.01835;0.02095
0.0053;0.00995;0.01025;0.01815;0.02215
0.0033;0.00785;0.0174;0.0201;0.0304
0.0071;0.00785;0.014;0.02095;0.0211
0.0054;0.0092;0.0124;0.0162;0.0207
0.0018;0.011;0.0127;0.01635;0.01555
0.0055;0.00955;0.0132;0.01705;0.02315
0.00475;0.0102;0.0145;0.01735;0.02025
0.0037;0.0099;0.01315;0.01325;0.02285
0.0032;0.00705;0.01635;0.01525;0.0139
0.00345;0.007;0.0118;0.01585;0.02115
0.00515;0.00825;0.0147;0.01415;0.0215
0.004;0.0088;0.0138;0.01125;0.02035
0.0036;0.0098;0.01265;0.02225;0.02625
0.0027;0.00665;0.0145;0.01915;0.02435
0.0026;0.00935;0.01535;0.0172;0.02335
0.0049;0.0113;0.01475;0.01925;0.0197
0.0034;0.0054;0.01485;0.0168;0.0236
0.00375;0.00895;0.01305;0.0149;0.01885
0.0044;0.00785;0.01225;0.0188;0.02395
0.00485;0.0095;0.0145;0.0152;0.0186
0.0049;0.0101;0.0157;0.01565;0.02185
0.0058;0.009;0.01045;0.01235;0.02385
0.006;0.0081;0.00885;0.01605;0.02075
0.0086;0.0088;0.0085;0.021;0.02195
0.00515;0.00795;0.01165;0.015;0.0246
0.00445;0.00605;0.01395;0.0193;0.02
0.0044;0.00775;0.0138;0.02075;0.0206
