4 Raters;5 Raters
0.0733333333333333;0.199
0.1;0.269
0.065;0.214
0.0883333333333333;0.256
0.0566666666666667;0.198
0.0616666666666667;0.211
0.0983333333333333;0.251
0.13;0.266
0.1;0.216
0.113333333333333;0.257
0.07;0.203
0.0916666666666667;0.231
0.08;0.259
0.0733333333333333;0.196
0.0883333333333333;0.208
0.1;0.265
0.13;0.273
0.0766666666666667;0.242
0.105;0.26
0.095;0.259
0.14;0.365
0.131666666666667;0.323
0.151666666666667;0.319
0.115;0.303
0.085;0.287
0.148333333333333;0.368
0.123333333333333;0.322
0.121666666666667;0.277
0.108333333333333;0.336
0.0883333333333333;0.308
