4 Raters;5 Raters
0.303075;0.289144
0.2765625;0.274216
0.277825;0.27636
0.3277625;0.304744
0.2823375;0.276808
0.3147375;0.296952
0.2816625;0.27828
0.293;0.285448
0.282325;0.276176
0.27765;0.271176
0.2512125;0.251168
0.254875;0.253544
0.2624875;0.26172
0.2638375;0.262216
0.2614625;0.259304
0.2602625;0.25828
0.258125;0.256696
0.2572125;0.254952
0.2544125;0.253592
0.2531625;0.25356
0.25015;0.251176
0.254525;0.25232
0.2589625;0.258984
0.2555875;0.257096
0.250875;0.250984
0.2506125;0.250872
0.2535;0.252104
0.2563875;0.254984
0.2545375;0.2546
0.2502;0.250432
